"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Holds SQA Qualification , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_015_02.pdf"
 
Cycle Year,Provider Name , Holds SQA Qualification,Number of Acceptances,
2008 ,"'C71 Cleveland College of Art and Design' ","'SQA qualification not identified' ",160
2008 ,"'C72 Cliff College' ","'SQA qualification not identified' ",10
2008 ,"'C75 University Centre Colchester at Colchester Institute' ","'SQA qualification not identified' ",280
2008 ,"'C78 Cornwall College' ","'SQA qualification identified' ",5
2008 ,"'C78 Cornwall College' ","'SQA qualification not identified' ",270
2008 ,"'C80 Courtauld Institute of Art (University of London)' ","'SQA qualification not identified' ",50
2008 ,"'C85 Coventry University' ","'SQA qualification identified' ",10
2008 ,"'C85 Coventry University' ","'SQA qualification not identified' ",3010
2008 ,"'C88 Craven College' ","'SQA qualification not identified' ",25
2008 ,"'C92 University Centre, Croydon (Croydon College)' ","'SQA qualification not identified' ",95
2008 ,"'C93 University for the Creative Arts (UCA)' ","'SQA qualification identified' ",5
2008 ,"'C93 University for the Creative Arts (UCA)' ","'SQA qualification not identified' ",1300
2008 ,"'C99 University of Cumbria' ","'SQA qualification identified' ",75
2008 ,"'C99 University of Cumbria' ","'SQA qualification not identified' ",1450
2008 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'SQA qualification identified' ",5
2008 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'SQA qualification not identified' ",100
2008 ,"'D22 Dearne Valley College' ","'SQA qualification not identified' ",55
2008 ,"'D26 De Montfort University' ","'SQA qualification identified' ",10
2008 ,"'D26 De Montfort University' ","'SQA qualification not identified' ",3710
2008 ,"'D39 University of Derby' ","'SQA qualification identified' ",5
2008 ,"'D39 University of Derby' ","'SQA qualification not identified' ",2425
2008 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'SQA qualification not identified' ",60
2008 ,"'D52 Doncaster College' ","'SQA qualification not identified' ",220
2008 ,"'D55 Duchy College' ","'SQA qualification not identified' ",60
2008 ,"'D58 Dudley College of Technology' ","'SQA qualification not identified' ",5
2008 ,"'D65 University of Dundee' ","'SQA qualification identified' ",1260
2008 ,"'D65 University of Dundee' ","'SQA qualification not identified' ",445
2008 ,"'D86 Durham University' ","'SQA qualification identified' ",45
2008 ,"'D86 Durham University' ","'SQA qualification not identified' ",3015
2008 ,"'E10 Ealing, Hammersmith and West London College' ","'SQA qualification not identified' ",10
2008 ,"'E14 University of East Anglia (UEA)' ","'SQA qualification identified' ",5
2008 ,"'E14 University of East Anglia (UEA)' ","'SQA qualification not identified' ",2580
2008 ,"'E25 East Lancashire Institute of Higher Education at Blackburn College' ","'SQA qualification not identified' ",170
2008 ,"'E28 University of East London (UEL)' ","'SQA qualification identified' ",5
2008 ,"'E28 University of East London (UEL)' ","'SQA qualification not identified' ",1760
2008 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'SQA qualification not identified' ",30
2008 ,"'E42 Edge Hill University' ","'SQA qualification identified' ",5
2008 ,"'E42 Edge Hill University' ","'SQA qualification not identified' ",2130
2008 ,"'E56 The University of Edinburgh' ","'SQA qualification identified' ",2030
2008 ,"'E56 The University of Edinburgh' ","'SQA qualification not identified' ",1835
2008 ,"'E58 Edinburgh College of Art' ","'SQA qualification identified' ",145
2008 ,"'E58 Edinburgh College of Art' ","'SQA qualification not identified' ",125
2008 ,"'E70 The University of Essex' ","'SQA qualification identified' ",5
2008 ,"'E70 The University of Essex' ","'SQA qualification not identified' ",1400
2008 ,"'E77 European Business School, London' ","'SQA qualification not identified' ",5
2008 ,"'E78 European School of Economics' ","'SQA qualification not identified' ",5
2008 ,"'E81 Exeter College' ","'SQA qualification not identified' ",65
2008 ,"'E84 University of Exeter' ","'SQA qualification identified' ",5
2008 ,"'E84 University of Exeter' ","'SQA qualification not identified' ",3215
2008 ,"'F33 Falmouth University' ","'SQA qualification not identified' ",785
2008 ,"'F66 University Centre Farnborough' ","'SQA qualification not identified' ",120
2008 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'SQA qualification identified' ",5
2008 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'SQA qualification not identified' ",2360
2008 ,"'G28 University of Glasgow' ","'SQA qualification identified' ",2775
2008 ,"'G28 University of Glasgow' ","'SQA qualification not identified' ",755
2008 ,"'G42 Glasgow Caledonian University' ","'SQA qualification identified' ",2030
2008 ,"'G42 Glasgow Caledonian University' ","'SQA qualification not identified' ",570
2008 ,"'G43 The Glasgow School of Art' ","'SQA qualification identified' ",140
2008 ,"'G43 The Glasgow School of Art' ","'SQA qualification not identified' ",130
2008 ,"'G45 Gloucestershire College' ","'SQA qualification not identified' ",20
2008 ,"'G50 The University of Gloucestershire' ","'SQA qualification not identified' ",1875
2008 ,"'G56 Goldsmiths, University of London' ","'SQA qualification identified' ",5
2008 ,"'G56 Goldsmiths, University of London' ","'SQA qualification not identified' ",1245
2008 ,"'G70 University of Greenwich' ","'SQA qualification identified' ",5
2008 ,"'G70 University of Greenwich' ","'SQA qualification not identified' ",2295
2008 ,"'G74 GSM London (formerly Greenwich School of Management)' ","'SQA qualification not identified' ",10
2008 ,"'G80 University Centre Grimsby' ","'SQA qualification not identified' ",125
2008 ,"'G90 Guildford College' ","'SQA qualification not identified' ",135
2008 ,"'H12 Harper Adams University' ","'SQA qualification not identified' ",435
2008 ,"'H14 Havering College of Further and Higher Education' ","'SQA qualification not identified' ",110
2008 ,"'H18 Hereford College of Arts' ","'SQA qualification not identified' ",115
2008 ,"'H24 Heriot-Watt University, Edinburgh' ","'SQA qualification identified' ",845
2008 ,"'H24 Heriot-Watt University, Edinburgh' ","'SQA qualification not identified' ",330
2008 ,"'H36 University of Hertfordshire' ","'SQA qualification identified' ",5
2008 ,"'H36 University of Hertfordshire' ","'SQA qualification not identified' ",3975
2008 ,"'H39 Highbury College' ","'SQA qualification not identified' ",20
2008 ,"'H48 Heythrop College (University of London)' ","'SQA qualification not identified' ",140
2008 ,"'H49 University of the Highlands and Islands' ","'SQA qualification identified' ",90
2008 ,"'H49 University of the Highlands and Islands' ","'SQA qualification not identified' ",5
2008 ,"'H54 Hopwood Hall College' ","'SQA qualification not identified' ",20
2008 ,"'H60 The University of Huddersfield' ","'SQA qualification identified' ",10
2008 ,"'H60 The University of Huddersfield' ","'SQA qualification not identified' ",3260
2008 ,"'H72 The University of Hull' ","'SQA qualification identified' ",10
2008 ,"'H72 The University of Hull' ","'SQA qualification not identified' ",2975
2008 ,"'H73 Hull College' ","'SQA qualification identified' ",10
2008 ,"'H73 Hull College' ","'SQA qualification not identified' ",310
2008 ,"'H75 Hull York Medical School' ","'SQA qualification not identified' ",135
2008 ,"'I50 Imperial College London' ","'SQA qualification identified' ",20
2008 ,"'I50 Imperial College London' ","'SQA qualification not identified' ",1365
2008 ,"'I60 Islamic College for Advanced Studies' ","'SQA qualification not identified' ",10
2008 ,"'K12 Keele University' ","'SQA qualification not identified' ",1515
2008 ,"'K24 The University of Kent' ","'SQA qualification not identified' ",3105
2008 ,"'K60 King's College London (University of London)' ","'SQA qualification identified' ",25
2008 ,"'K60 King's College London (University of London)' ","'SQA qualification not identified' ",2675
2008 ,"'K84 Kingston University' ","'SQA qualification identified' ",10
2008 ,"'K84 Kingston University' ","'SQA qualification not identified' ",4455
2008 ,"'L07 The University of Wales, Lampeter' ","'SQA qualification not identified' ",125
2008 ,"'L14 Lancaster University' ","'SQA qualification identified' ",10
2008 ,"'L14 Lancaster University' ","'SQA qualification not identified' ",2380
2008 ,"'L21 Leeds City College' ","'SQA qualification not identified' ",30
2008 ,"'L23 University of Leeds' ","'SQA qualification identified' ",35
2008 ,"'L23 University of Leeds' ","'SQA qualification not identified' ",6315
2008 ,"'L24 Leeds Trinity University' ","'SQA qualification not identified' ",715
2008 ,"'L27 Leeds Beckett University' ","'SQA qualification identified' ",5
2008 ,"'L27 Leeds Beckett University' ","'SQA qualification not identified' ",6050
2008 ,"'L28 Leeds College of Art' ","'SQA qualification identified' ",5
2008 ,"'L28 Leeds College of Art' ","'SQA qualification not identified' ",415
2008 ,"'L30 Leeds College of Music (UCAS)' ","'SQA qualification not identified' ",210
2008 ,"'L34 University of Leicester' ","'SQA qualification identified' ",5
2008 ,"'L34 University of Leicester' ","'SQA qualification not identified' ",2330
2008 ,"'L36 Leicester College' ","'SQA qualification not identified' ",25
2008 ,"'L39 University of Lincoln' ","'SQA qualification not identified' ",2455
2008 ,"'L41 The University of Liverpool' ","'SQA qualification identified' ",15
2008 ,"'L41 The University of Liverpool' ","'SQA qualification not identified' ",3370
2008 ,"'L42 Lincoln College' ","'SQA qualification not identified' ",20
2008 ,"'L43 The City of Liverpool College' ","'SQA qualification not identified' ",75
2008 ,"'L46 Liverpool Hope University' ","'SQA qualification identified' ",5
2008 ,"'L46 Liverpool Hope University' ","'SQA qualification not identified' ",1305
2008 ,"'L48 The Liverpool Institute for Performing Arts' ","'SQA qualification identified' ",5
2008 ,"'L48 The Liverpool Institute for Performing Arts' ","'SQA qualification not identified' ",160
2008 ,"'L51 Liverpool John Moores University (LJMU)' ","'SQA qualification identified' ",5
2008 ,"'L51 Liverpool John Moores University (LJMU)' ","'SQA qualification not identified' ",5250
2008 ,"'L53 Coleg Llandrillo' ","'SQA qualification not identified' ",60
2008 ,"'L68 London Metropolitan University' ","'SQA qualification identified' ",10
2008 ,"'L68 London Metropolitan University' ","'SQA qualification not identified' ",1925
2008 ,"'L70 London School of Commerce' ","'SQA qualification not identified' ",5
2008 ,"'L71 London School of Science & Technology' ","'SQA qualification not identified' ",5
2008 ,"'L72 London School of Economics and Political Science (University of London)' ","'SQA qualification identified' ",5
2008 ,"'L72 London School of Economics and Political Science (University of London)' ","'SQA qualification not identified' ",695
2008 ,"'L75 London South Bank University' ","'SQA qualification identified' ",10
2008 ,"'L75 London South Bank University' ","'SQA qualification not identified' ",1930
2008 ,"'L77 Loughborough College' ","'SQA qualification identified' ",5
2008 ,"'L77 Loughborough College' ","'SQA qualification not identified' ",175
2008 ,"'L79 Loughborough University' ","'SQA qualification identified' ",15
2008 ,"'L79 Loughborough University' ","'SQA qualification not identified' ",3290
2008 ,"'M10 The Manchester College' ","'SQA qualification not identified' ",65
2008 ,"'M20 The University of Manchester' ","'SQA qualification identified' ",25
2008 ,"'M20 The University of Manchester' ","'SQA qualification not identified' ",6780
2008 ,"'M40 The Manchester Metropolitan University' ","'SQA qualification identified' ",40
2008 ,"'M40 The Manchester Metropolitan University' ","'SQA qualification not identified' ",6490
2008 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'SQA qualification not identified' ",570
2008 ,"'M60 Matthew Boulton College of Further and Higher Education' ","'SQA qualification not identified' ",20
2008 ,"'M62 Medway School of Pharmacy' ","'SQA qualification not identified' ",90
2008 ,"'M77 Mid Cheshire College' ","'SQA qualification not identified' ",5
2008 ,"'M80 Middlesex University' ","'SQA qualification identified' ",5
2008 ,"'M80 Middlesex University' ","'SQA qualification not identified' ",2510
2008 ,"'M95 Mountview Academy of Theatre Arts' ","'SQA qualification not identified' ",30
2008 ,"'M99 Myerscough College' ","'SQA qualification identified' ",5
2008 ,"'M99 Myerscough College' ","'SQA qualification not identified' ",220
2008 ,"'N07 Napier University, Edinburgh' ","'SQA qualification identified' ",1085
2008 ,"'N07 Napier University, Edinburgh' ","'SQA qualification not identified' ",585
2008 ,"'N11 Nazarene Theological College' ","'SQA qualification not identified' ",15
2008 ,"'N13 NPTC Group' ","'SQA qualification not identified' ",35
2008 ,"'N21 Newcastle University' ","'SQA qualification identified' ",90
2008 ,"'N21 Newcastle University' ","'SQA qualification not identified' ",3455
2008 ,"'N23 Newcastle College' ","'SQA qualification identified' ",5
2008 ,"'N23 Newcastle College' ","'SQA qualification not identified' ",760
2008 ,"'N28 New College Durham' ","'SQA qualification not identified' ",80
2008 ,"'N30 New College Nottingham' ","'SQA qualification not identified' ",175
2008 ,"'N33 New College Stamford' ","'SQA qualification not identified' ",25
