"Statistic:   Number of Applications"
"Variables:   Provider Name , Age Band , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_006_03.pdf"
 
Cycle Year,Provider Name , Age Band,Number of Applications,
2006 ,"'B37 Bishop Burton College' ","'20' ",25
2006 ,"'B37 Bishop Burton College' ","'21 and over' ",70
2006 ,"'B38 Bishop Grosseteste University' ","'18' ",720
2006 ,"'B38 Bishop Grosseteste University' ","'19' ",150
2006 ,"'B38 Bishop Grosseteste University' ","'20' ",50
2006 ,"'B38 Bishop Grosseteste University' ","'21 and over' ",200
2006 ,"'B40 Blackburn College' ","'18' ",160
2006 ,"'B40 Blackburn College' ","'19' ",160
2006 ,"'B40 Blackburn College' ","'20' ",65
2006 ,"'B40 Blackburn College' ","'21 and over' ",235
2006 ,"'B41 Blackpool and The Fylde College' ","'17 and under' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'18' ",380
2006 ,"'B41 Blackpool and The Fylde College' ","'19' ",225
2006 ,"'B41 Blackpool and The Fylde College' ","'20' ",80
2006 ,"'B41 Blackpool and The Fylde College' ","'21 and over' ",240
2006 ,"'B44 University of Bolton' ","'17 and under' ",45
2006 ,"'B44 University of Bolton' ","'18' ",3420
2006 ,"'B44 University of Bolton' ","'19' ",1145
2006 ,"'B44 University of Bolton' ","'20' ",470
2006 ,"'B44 University of Bolton' ","'21 and over' ",905
2006 ,"'B50 Bournemouth University' ","'17 and under' ",80
2006 ,"'B50 Bournemouth University' ","'18' ",10705
2006 ,"'B50 Bournemouth University' ","'19' ",2920
2006 ,"'B50 Bournemouth University' ","'20' ",1270
2006 ,"'B50 Bournemouth University' ","'21 and over' ",3035
2006 ,"'B53 The Arts Institute at Bournemouth' ","'17 and under' ",10
2006 ,"'B53 The Arts Institute at Bournemouth' ","'18' ",1680
2006 ,"'B53 The Arts Institute at Bournemouth' ","'19' ",1490
2006 ,"'B53 The Arts Institute at Bournemouth' ","'20' ",490
2006 ,"'B53 The Arts Institute at Bournemouth' ","'21 and over' ",580
2006 ,"'B56 The University of Bradford' ","'17 and under' ",240
2006 ,"'B56 The University of Bradford' ","'18' ",6225
2006 ,"'B56 The University of Bradford' ","'19' ",2645
2006 ,"'B56 The University of Bradford' ","'20' ",1060
2006 ,"'B56 The University of Bradford' ","'21 and over' ",2855
2006 ,"'B60 Bradford College' ","'17 and under' ",10
2006 ,"'B60 Bradford College' ","'18' ",710
2006 ,"'B60 Bradford College' ","'19' ",475
2006 ,"'B60 Bradford College' ","'20' ",190
2006 ,"'B60 Bradford College' ","'21 and over' ",660
2006 ,"'B70 Bridgwater College' ","'18' ",50
2006 ,"'B70 Bridgwater College' ","'19' ",25
2006 ,"'B70 Bridgwater College' ","'21 and over' ",10
2006 ,"'B72 University of Brighton' ","'17 and under' ",320
2006 ,"'B72 University of Brighton' ","'18' ",12635
2006 ,"'B72 University of Brighton' ","'19' ",5040
2006 ,"'B72 University of Brighton' ","'20' ",1970
2006 ,"'B72 University of Brighton' ","'21 and over' ",4885
2006 ,"'B74 Brighton and Sussex Medical School' ","'17 and under' ",40
2006 ,"'B74 Brighton and Sussex Medical School' ","'18' ",910
2006 ,"'B74 Brighton and Sussex Medical School' ","'19' ",475
2006 ,"'B74 Brighton and Sussex Medical School' ","'20' ",145
2006 ,"'B74 Brighton and Sussex Medical School' ","'21 and over' ",690
2006 ,"'B77 Bristol, City of Bristol College' ","'17 and under' ",10
2006 ,"'B77 Bristol, City of Bristol College' ","'18' ",240
2006 ,"'B77 Bristol, City of Bristol College' ","'19' ",140
2006 ,"'B77 Bristol, City of Bristol College' ","'20' ",55
2006 ,"'B77 Bristol, City of Bristol College' ","'21 and over' ",190
2006 ,"'B78 University of Bristol' ","'17 and under' ",895
2006 ,"'B78 University of Bristol' ","'18' ",26850
2006 ,"'B78 University of Bristol' ","'19' ",5325
2006 ,"'B78 University of Bristol' ","'20' ",1510
2006 ,"'B78 University of Bristol' ","'21 and over' ",3285
2006 ,"'B79 Bristol Filton College' ","'17 and under' ",15
2006 ,"'B79 Bristol Filton College' ","'18' ",70
2006 ,"'B79 Bristol Filton College' ","'19' ",40
2006 ,"'B79 Bristol Filton College' ","'20' ",10
2006 ,"'B79 Bristol Filton College' ","'21 and over' ",25
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'17 and under' ",190
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'18' ",14610
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'19' ",5015
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'20' ",1930
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'21 and over' ",4690
2006 ,"'B81 British College of Osteopathic Medicine' ","'17 and under' ",5
2006 ,"'B81 British College of Osteopathic Medicine' ","'18' ",60
2006 ,"'B81 British College of Osteopathic Medicine' ","'19' ",30
2006 ,"'B81 British College of Osteopathic Medicine' ","'20' ",10
2006 ,"'B81 British College of Osteopathic Medicine' ","'21 and over' ",100
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'18' ",65
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'19' ",15
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'20' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'21 and over' ",15
2006 ,"'B83 Brooklands College' ","'18' ",5
2006 ,"'B83 Brooklands College' ","'19' ",5
2006 ,"'B83 Brooklands College' ","'21 and over' ",5
2006 ,"'B84 Brunel University London' ","'17 and under' ",315
2006 ,"'B84 Brunel University London' ","'18' ",12845
2006 ,"'B84 Brunel University London' ","'19' ",4740
2006 ,"'B84 Brunel University London' ","'20' ",1785
2006 ,"'B84 Brunel University London' ","'21 and over' ",4110
2006 ,"'B87 British School of Osteopathy' ","'18' ",50
2006 ,"'B87 British School of Osteopathy' ","'19' ",30
2006 ,"'B87 British School of Osteopathy' ","'20' ",10
2006 ,"'B87 British School of Osteopathy' ","'21 and over' ",160
2006 ,"'B88 Brockenhurst College' ","'18' ",10
2006 ,"'B88 Brockenhurst College' ","'19' ",5
2006 ,"'B88 Brockenhurst College' ","'20' ",5
2006 ,"'B89 Broxtowe College, Nottingham' ","'18' ",5
2006 ,"'B89 Broxtowe College, Nottingham' ","'19' ",5
2006 ,"'B89 Broxtowe College, Nottingham' ","'20' ",5
2006 ,"'B89 Broxtowe College, Nottingham' ","'21 and over' ",10
2006 ,"'B90 The University of Buckingham' ","'17 and under' ",15
2006 ,"'B90 The University of Buckingham' ","'18' ",315
2006 ,"'B90 The University of Buckingham' ","'19' ",105
2006 ,"'B90 The University of Buckingham' ","'20' ",70
2006 ,"'B90 The University of Buckingham' ","'21 and over' ",170
2006 ,"'B94 Buckinghamshire New University' ","'17 and under' ",25
2006 ,"'B94 Buckinghamshire New University' ","'18' ",3175
2006 ,"'B94 Buckinghamshire New University' ","'19' ",1510
2006 ,"'B94 Buckinghamshire New University' ","'20' ",600
2006 ,"'B94 Buckinghamshire New University' ","'21 and over' ",1010
2006 ,"'C05 University of Cambridge' ","'17 and under' ",565
2006 ,"'C05 University of Cambridge' ","'18' ",10280
2006 ,"'C05 University of Cambridge' ","'19' ",1865
2006 ,"'C05 University of Cambridge' ","'20' ",525
2006 ,"'C05 University of Cambridge' ","'21 and over' ",940
2006 ,"'C10 Canterbury Christ Church University' ","'17 and under' ",55
2006 ,"'C10 Canterbury Christ Church University' ","'18' ",5435
2006 ,"'C10 Canterbury Christ Church University' ","'19' ",1425
2006 ,"'C10 Canterbury Christ Church University' ","'20' ",505
2006 ,"'C10 Canterbury Christ Church University' ","'21 and over' ",1705
2006 ,"'C13 Capel Manor College' ","'19' ",5
2006 ,"'C13 Capel Manor College' ","'21 and over' ",10
2006 ,"'C15 Cardiff University' ","'17 and under' ",650
2006 ,"'C15 Cardiff University' ","'18' ",24765
2006 ,"'C15 Cardiff University' ","'19' ",5040
