"Statistic:   Number of Applications"
"Variables:   Subject Group (Summary Level) , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_010_03.pdf"
 
Cycle Year,Subject Group (Summary Level),Number of Applications,
2007 ,"'Group A Medicine and Dentistry' ",83505
2007 ,"'Group B Subjects allied to Medicine' ",187155
2007 ,"'Group C Biological Sciences' ",187560
2007 ,"'Group D Veterinary Sciences, Agriculture and related' ",18425
2007 ,"'Group F Physical Sciences' ",85440
2007 ,"'Group G Mathematical Sciences' ",35400
2007 ,"'Group H Engineering' ",113165
2007 ,"'Group I Computer Sciences' ",79725
2007 ,"'Group J Technologies' ",10765
2007 ,"'Group K Architecture, Building and Planning' ",50925
2007 ,"'Group L Social Studies' ",191010
2007 ,"'Group M Law' ",110660
2007 ,"'Group N Business and Admin studies' ",279975
2007 ,"'Group P Mass Communication and Documentation' ",50765
2007 ,"'Group Q Linguistics, Classics and related' ",68795
2007 ,"'Group R European Languages, Literature and related' ",24895
2007 ,"'Group T Non-European Languages, Literature and related' ",8945
2007 ,"'Group V History and Philosophical studies' ",79195
2007 ,"'Group W Creative Arts and Design' ",228560
2007 ,"'Group X Education' ",72140
2007 ,"'Y Combined arts' ",82505
2007 ,"'Y Combined sciences' ",43620
2007 ,"'Y Combined social sciences' ",41345
2007 ,"'Y Sciences combined with Social Sciences or Arts' ",122040
2007 ,"'Y Social Sciences combined with Arts' ",77790
2007 ,"'Z General, other combined and unknown' ",20770
2008 ,"'Group A Medicine and Dentistry' ",79810
2008 ,"'Group B Subjects allied to Medicine' ",213605
2008 ,"'Group C Biological Sciences' ",166750
2008 ,"'Group D Veterinary Sciences, Agriculture and related' ",18800
2008 ,"'Group F Physical Sciences' ",75980
2008 ,"'Group G Mathematical Sciences' ",33280
2008 ,"'Group H Engineering' ",105040
2008 ,"'Group I Computer Sciences' ",71120
2008 ,"'Group J Technologies' ",10045
2008 ,"'Group K Architecture, Building and Planning' ",49230
2008 ,"'Group L Social Studies' ",179330
2008 ,"'Group M Law' ",101400
2008 ,"'Group N Business and Admin studies' ",261130
2008 ,"'Group P Mass Communication and Documentation' ",46740
2008 ,"'Group Q Linguistics, Classics and related' ",62175
2008 ,"'Group R European Languages, Literature and related' ",22880
2008 ,"'Group T Non-European Languages, Literature and related' ",7260
2008 ,"'Group V History and Philosophical studies' ",72310
2008 ,"'Group W Creative Arts and Design' ",212725
2008 ,"'Group X Education' ",66160
2008 ,"'Y Combined arts' ",70350
2008 ,"'Y Combined sciences' ",37695
2008 ,"'Y Combined social sciences' ",36425
2008 ,"'Y Sciences combined with Social Sciences or Arts' ",109865
2008 ,"'Y Social Sciences combined with Arts' ",68110
2008 ,"'Z General, other combined and unknown' ",17420
