"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_009_01.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex,Number of Acceptances,
2006 ,"'Scotland' ","'Northern Ireland' ","'20' ","'Women' ",10
2006 ,"'Scotland' ","'Northern Ireland' ","'21 and over' ","'Men' ",55
2006 ,"'Scotland' ","'Northern Ireland' ","'21 and over' ","'Women' ",40
2006 ,"'Scotland' ","'Scotland' ","'17 and under' ","'Men' ",320
2006 ,"'Scotland' ","'Scotland' ","'17 and under' ","'Women' ",460
2006 ,"'Scotland' ","'Scotland' ","'18' ","'Men' ",6135
2006 ,"'Scotland' ","'Scotland' ","'18' ","'Women' ",7275
2006 ,"'Scotland' ","'Scotland' ","'19' ","'Men' ",1300
2006 ,"'Scotland' ","'Scotland' ","'19' ","'Women' ",1500
2006 ,"'Scotland' ","'Scotland' ","'20' ","'Men' ",865
2006 ,"'Scotland' ","'Scotland' ","'20' ","'Women' ",935
2006 ,"'Scotland' ","'Scotland' ","'21 and over' ","'Men' ",2780
2006 ,"'Scotland' ","'Scotland' ","'21 and over' ","'Women' ",3415
2006 ,"'Scotland' ","'Wales' ","'17 and under' ","'Women' ",5
2006 ,"'Scotland' ","'Wales' ","'18' ","'Men' ",25
2006 ,"'Scotland' ","'Wales' ","'18' ","'Women' ",35
2006 ,"'Scotland' ","'Wales' ","'19' ","'Men' ",5
2006 ,"'Scotland' ","'Wales' ","'19' ","'Women' ",5
2006 ,"'Scotland' ","'Wales' ","'20' ","'Women' ",5
2006 ,"'Scotland' ","'Wales' ","'21 and over' ","'Men' ",10
2006 ,"'Scotland' ","'Wales' ","'21 and over' ","'Women' ",5
2006 ,"'Wales' ","'England' ","'17 and under' ","'Men' ",10
2006 ,"'Wales' ","'England' ","'17 and under' ","'Women' ",20
2006 ,"'Wales' ","'England' ","'18' ","'Men' ",2635
2006 ,"'Wales' ","'England' ","'18' ","'Women' ",3040
2006 ,"'Wales' ","'England' ","'19' ","'Men' ",650
2006 ,"'Wales' ","'England' ","'19' ","'Women' ",620
2006 ,"'Wales' ","'England' ","'20' ","'Men' ",235
2006 ,"'Wales' ","'England' ","'20' ","'Women' ",180
2006 ,"'Wales' ","'England' ","'21 and over' ","'Men' ",490
2006 ,"'Wales' ","'England' ","'21 and over' ","'Women' ",370
2006 ,"'Wales' ","'Northern Ireland' ","'18' ","'Men' ",20
2006 ,"'Wales' ","'Northern Ireland' ","'18' ","'Women' ",45
2006 ,"'Wales' ","'Northern Ireland' ","'19' ","'Men' ",5
2006 ,"'Wales' ","'Northern Ireland' ","'19' ","'Women' ",10
2006 ,"'Wales' ","'Northern Ireland' ","'20' ","'Men' ",5
2006 ,"'Wales' ","'Northern Ireland' ","'21 and over' ","'Men' ",10
2006 ,"'Wales' ","'Northern Ireland' ","'21 and over' ","'Women' ",10
2006 ,"'Wales' ","'Scotland' ","'18' ","'Men' ",10
2006 ,"'Wales' ","'Scotland' ","'18' ","'Women' ",15
2006 ,"'Wales' ","'Scotland' ","'19' ","'Men' ",5
2006 ,"'Wales' ","'Scotland' ","'21 and over' ","'Men' ",10
2006 ,"'Wales' ","'Scotland' ","'21 and over' ","'Women' ",10
2006 ,"'Wales' ","'Wales' ","'17 and under' ","'Men' ",10
2006 ,"'Wales' ","'Wales' ","'17 and under' ","'Women' ",10
2006 ,"'Wales' ","'Wales' ","'18' ","'Men' ",2740
2006 ,"'Wales' ","'Wales' ","'18' ","'Women' ",3575
2006 ,"'Wales' ","'Wales' ","'19' ","'Men' ",745
2006 ,"'Wales' ","'Wales' ","'19' ","'Women' ",900
2006 ,"'Wales' ","'Wales' ","'20' ","'Men' ",315
2006 ,"'Wales' ","'Wales' ","'20' ","'Women' ",360
2006 ,"'Wales' ","'Wales' ","'21 and over' ","'Men' ",1080
2006 ,"'Wales' ","'Wales' ","'21 and over' ","'Women' ",1890
2007 ,"'England' ","'England' ","'17 and under' ","'Men' ",500
2007 ,"'England' ","'England' ","'17 and under' ","'Women' ",610
2007 ,"'England' ","'England' ","'18' ","'Men' ",69360
2007 ,"'England' ","'England' ","'18' ","'Women' ",85180
2007 ,"'England' ","'England' ","'19' ","'Men' ",27790
2007 ,"'England' ","'England' ","'19' ","'Women' ",31050
2007 ,"'England' ","'England' ","'20' ","'Men' ",10120
2007 ,"'England' ","'England' ","'20' ","'Women' ",9865
2007 ,"'England' ","'England' ","'21 and over' ","'Men' ",25040
2007 ,"'England' ","'England' ","'21 and over' ","'Women' ",33940
2007 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Men' ",10
2007 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Women' ",5
2007 ,"'England' ","'Northern Ireland' ","'18' ","'Men' ",915
2007 ,"'England' ","'Northern Ireland' ","'18' ","'Women' ",1180
2007 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ",215
2007 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ",280
2007 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ",110
2007 ,"'England' ","'Northern Ireland' ","'20' ","'Women' ",105
2007 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ",225
2007 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ",155
2007 ,"'England' ","'Scotland' ","'17 and under' ","'Men' ",15
2007 ,"'England' ","'Scotland' ","'17 and under' ","'Women' ",15
2007 ,"'England' ","'Scotland' ","'18' ","'Men' ",310
2007 ,"'England' ","'Scotland' ","'18' ","'Women' ",335
2007 ,"'England' ","'Scotland' ","'19' ","'Men' ",170
2007 ,"'England' ","'Scotland' ","'19' ","'Women' ",200
2007 ,"'England' ","'Scotland' ","'20' ","'Men' ",85
2007 ,"'England' ","'Scotland' ","'20' ","'Women' ",95
2007 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ",240
2007 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ",290
2007 ,"'England' ","'Wales' ","'17 and under' ","'Men' ",15
2007 ,"'England' ","'Wales' ","'17 and under' ","'Women' ",15
2007 ,"'England' ","'Wales' ","'18' ","'Men' ",1495
2007 ,"'England' ","'Wales' ","'18' ","'Women' ",1745
2007 ,"'England' ","'Wales' ","'19' ","'Men' ",470
2007 ,"'England' ","'Wales' ","'19' ","'Women' ",595
2007 ,"'England' ","'Wales' ","'20' ","'Men' ",170
2007 ,"'England' ","'Wales' ","'20' ","'Women' ",155
2007 ,"'England' ","'Wales' ","'21 and over' ","'Men' ",320
2007 ,"'England' ","'Wales' ","'21 and over' ","'Women' ",325
2007 ,"'Northern Ireland' ","'England' ","'18' ","'Men' ",30
2007 ,"'Northern Ireland' ","'England' ","'18' ","'Women' ",50
2007 ,"'Northern Ireland' ","'England' ","'19' ","'Men' ",5
2007 ,"'Northern Ireland' ","'England' ","'19' ","'Women' ",10
2007 ,"'Northern Ireland' ","'England' ","'20' ","'Men' ",10
2007 ,"'Northern Ireland' ","'England' ","'20' ","'Women' ",5
2007 ,"'Northern Ireland' ","'England' ","'21 and over' ","'Men' ",5
2007 ,"'Northern Ireland' ","'England' ","'21 and over' ","'Women' ",5
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Men' ",10
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Women' ",20
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ",2545
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ",3340
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ",435
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ",665
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ",185
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ",210
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ",435
2007 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ",745
2007 ,"'Northern Ireland' ","'Scotland' ","'18' ","'Women' ",5
2007 ,"'Northern Ireland' ","'Scotland' ","'21 and over' ","'Men' ",10
2007 ,"'Northern Ireland' ","'Scotland' ","'21 and over' ","'Women' ",5
2007 ,"'Northern Ireland' ","'Wales' ","'18' ","'Women' ",5
2007 ,"'Scotland' ","'England' ","'17 and under' ","'Men' ",15
2007 ,"'Scotland' ","'England' ","'17 and under' ","'Women' ",20
2007 ,"'Scotland' ","'England' ","'18' ","'Men' ",995
2007 ,"'Scotland' ","'England' ","'18' ","'Women' ",1435
2007 ,"'Scotland' ","'England' ","'19' ","'Men' ",345
2007 ,"'Scotland' ","'England' ","'19' ","'Women' ",425
2007 ,"'Scotland' ","'England' ","'20' ","'Men' ",75
2007 ,"'Scotland' ","'England' ","'20' ","'Women' ",90
2007 ,"'Scotland' ","'England' ","'21 and over' ","'Men' ",190
2007 ,"'Scotland' ","'England' ","'21 and over' ","'Women' ",185
2007 ,"'Scotland' ","'Northern Ireland' ","'17 and under' ","'Women' ",5
2007 ,"'Scotland' ","'Northern Ireland' ","'18' ","'Men' ",330
2007 ,"'Scotland' ","'Northern Ireland' ","'18' ","'Women' ",485
2007 ,"'Scotland' ","'Northern Ireland' ","'19' ","'Men' ",65
2007 ,"'Scotland' ","'Northern Ireland' ","'19' ","'Women' ",80
2007 ,"'Scotland' ","'Northern Ireland' ","'20' ","'Men' ",25
2007 ,"'Scotland' ","'Northern Ireland' ","'20' ","'Women' ",25
2007 ,"'Scotland' ","'Northern Ireland' ","'21 and over' ","'Men' ",50
2007 ,"'Scotland' ","'Northern Ireland' ","'21 and over' ","'Women' ",45
2007 ,"'Scotland' ","'Scotland' ","'17 and under' ","'Men' ",335
2007 ,"'Scotland' ","'Scotland' ","'17 and under' ","'Women' ",490
2007 ,"'Scotland' ","'Scotland' ","'18' ","'Men' ",5820
