"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Entry Year"
"Coverage:   Accepted through the main scheme, UK domiciled and direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_020_02.pdf"
 
Entry Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2007 ,"'C05 University of Cambridge' ","'Wales' ",65
2007 ,"'C10 Canterbury Christ Church University' ","'England' ",1805
2007 ,"'C10 Canterbury Christ Church University' ","'Northern Ireland' ",5
2007 ,"'C10 Canterbury Christ Church University' ","'Scotland' ",5
2007 ,"'C10 Canterbury Christ Church University' ","'Wales' ",5
2007 ,"'C15 Cardiff University' ","'England' ",2500
2007 ,"'C15 Cardiff University' ","'Northern Ireland' ",35
2007 ,"'C15 Cardiff University' ","'Scotland' ",5
2007 ,"'C15 Cardiff University' ","'Wales' ",1670
2007 ,"'C20 Cardiff Metropolitan University' ","'England' ",740
2007 ,"'C20 Cardiff Metropolitan University' ","'Northern Ireland' ",5
2007 ,"'C20 Cardiff Metropolitan University' ","'Wales' ",1185
2007 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'England' ",5
2007 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'Northern Ireland' ",5
2007 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'Wales' ",70
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'England' ",2485
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Northern Ireland' ",10
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Scotland' ",5
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Wales' ",35
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'England' ",3235
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'Northern Ireland' ",75
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'Scotland' ",15
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'Wales' ",50
2007 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'England' ",170
2007 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Scotland' ",5
2007 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Wales' ",10
2007 ,"'C55 University of Chester' ","'England' ",1865
2007 ,"'C55 University of Chester' ","'Northern Ireland' ",30
2007 ,"'C55 University of Chester' ","'Scotland' ",5
2007 ,"'C55 University of Chester' ","'Wales' ",200
2007 ,"'C56 Chesterfield College' ","'England' ",35
2007 ,"'C57 Chichester College' ","'England' ",35
2007 ,"'C58 University of Chichester' ","'England' ",1000
2007 ,"'C58 University of Chichester' ","'Wales' ",5
2007 ,"'C60 City, University of London' ","'England' ",1260
2007 ,"'C60 City, University of London' ","'Northern Ireland' ",5
2007 ,"'C60 City, University of London' ","'Scotland' ",5
2007 ,"'C60 City, University of London' ","'Wales' ",10
2007 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'England' ",155
