"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (Region) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_005_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (Region),Number of Acceptances,
2006 ,"'B32 The University of Birmingham' ","'North West' ",270
2006 ,"'B32 The University of Birmingham' ","'East Midlands' ",385
2006 ,"'B32 The University of Birmingham' ","'West Midlands' ",1475
2006 ,"'B32 The University of Birmingham' ","'East of England' ",380
2006 ,"'B32 The University of Birmingham' ","'London' ",465
2006 ,"'B32 The University of Birmingham' ","'South East' ",600
2006 ,"'B32 The University of Birmingham' ","'South West' ",425
2006 ,"'B32 The University of Birmingham' ","'Wales' ",125
2006 ,"'B32 The University of Birmingham' ","'Scotland' ",5
2006 ,"'B32 The University of Birmingham' ","'Northern Ireland' ",5
2006 ,"'B35 University College Birmingham' ","'Yorkshire and The Humber' ",10
2006 ,"'B35 University College Birmingham' ","'North West' ",10
2006 ,"'B35 University College Birmingham' ","'East Midlands' ",45
2006 ,"'B35 University College Birmingham' ","'West Midlands' ",355
2006 ,"'B35 University College Birmingham' ","'East of England' ",35
2006 ,"'B35 University College Birmingham' ","'London' ",40
2006 ,"'B35 University College Birmingham' ","'South East' ",40
2006 ,"'B35 University College Birmingham' ","'South West' ",30
2006 ,"'B35 University College Birmingham' ","'Wales' ",10
2006 ,"'B37 Bishop Burton College' ","'North East' ",5
2006 ,"'B37 Bishop Burton College' ","'Yorkshire and The Humber' ",95
2006 ,"'B37 Bishop Burton College' ","'North West' ",5
2006 ,"'B37 Bishop Burton College' ","'East Midlands' ",15
2006 ,"'B37 Bishop Burton College' ","'East of England' ",5
2006 ,"'B37 Bishop Burton College' ","'South East' ",5
2006 ,"'B37 Bishop Burton College' ","'South West' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'North East' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'Yorkshire and The Humber' ",65
2006 ,"'B38 Bishop Grosseteste University' ","'East Midlands' ",255
2006 ,"'B38 Bishop Grosseteste University' ","'West Midlands' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'East of England' ",35
2006 ,"'B38 Bishop Grosseteste University' ","'South East' ",5
2006 ,"'B40 Blackburn College' ","'North West' ",195
2006 ,"'B41 Blackpool and The Fylde College' ","'Yorkshire and The Humber' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'North West' ",285
2006 ,"'B41 Blackpool and The Fylde College' ","'East Midlands' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'West Midlands' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'East of England' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'London' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'South East' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'Wales' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'Northern Ireland' ",5
2006 ,"'B44 University of Bolton' ","'North East' ",5
2006 ,"'B44 University of Bolton' ","'Yorkshire and The Humber' ",45
2006 ,"'B44 University of Bolton' ","'North West' ",390
2006 ,"'B44 University of Bolton' ","'East Midlands' ",15
2006 ,"'B44 University of Bolton' ","'West Midlands' ",25
2006 ,"'B44 University of Bolton' ","'East of England' ",20
2006 ,"'B44 University of Bolton' ","'London' ",20
2006 ,"'B44 University of Bolton' ","'South East' ",10
2006 ,"'B44 University of Bolton' ","'South West' ",10
2006 ,"'B44 University of Bolton' ","'Wales' ",5
2006 ,"'B44 University of Bolton' ","'Northern Ireland' ",10
2006 ,"'B50 Bournemouth University' ","'North East' ",5
2006 ,"'B50 Bournemouth University' ","'Yorkshire and The Humber' ",15
2006 ,"'B50 Bournemouth University' ","'North West' ",30
2006 ,"'B50 Bournemouth University' ","'East Midlands' ",70
2006 ,"'B50 Bournemouth University' ","'West Midlands' ",125
2006 ,"'B50 Bournemouth University' ","'East of England' ",225
2006 ,"'B50 Bournemouth University' ","'London' ",275
2006 ,"'B50 Bournemouth University' ","'South East' ",995
2006 ,"'B50 Bournemouth University' ","'South West' ",1025
2006 ,"'B50 Bournemouth University' ","'Wales' ",30
2006 ,"'B50 Bournemouth University' ","'Scotland' ",5
2006 ,"'B50 Bournemouth University' ","'Northern Ireland' ",10
2006 ,"'B53 The Arts Institute at Bournemouth' ","'North East' ",5
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Yorkshire and The Humber' ",5
2006 ,"'B53 The Arts Institute at Bournemouth' ","'North West' ",15
2006 ,"'B53 The Arts Institute at Bournemouth' ","'East Midlands' ",20
2006 ,"'B53 The Arts Institute at Bournemouth' ","'West Midlands' ",20
2006 ,"'B53 The Arts Institute at Bournemouth' ","'East of England' ",30
2006 ,"'B53 The Arts Institute at Bournemouth' ","'London' ",50
2006 ,"'B53 The Arts Institute at Bournemouth' ","'South East' ",195
2006 ,"'B53 The Arts Institute at Bournemouth' ","'South West' ",225
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Wales' ",10
2006 ,"'B56 The University of Bradford' ","'North East' ",25
2006 ,"'B56 The University of Bradford' ","'Yorkshire and The Humber' ",955
2006 ,"'B56 The University of Bradford' ","'North West' ",190
2006 ,"'B56 The University of Bradford' ","'East Midlands' ",50
2006 ,"'B56 The University of Bradford' ","'West Midlands' ",35
2006 ,"'B56 The University of Bradford' ","'East of England' ",30
2006 ,"'B56 The University of Bradford' ","'London' ",50
2006 ,"'B56 The University of Bradford' ","'South East' ",30
2006 ,"'B56 The University of Bradford' ","'South West' ",25
2006 ,"'B56 The University of Bradford' ","'Wales' ",10
2006 ,"'B56 The University of Bradford' ","'Scotland' ",5
2006 ,"'B56 The University of Bradford' ","'Northern Ireland' ",5
2006 ,"'B60 Bradford College' ","'Yorkshire and The Humber' ",330
2006 ,"'B60 Bradford College' ","'North West' ",30
2006 ,"'B60 Bradford College' ","'East of England' ",5
2006 ,"'B60 Bradford College' ","'London' ",5
2006 ,"'B70 Bridgwater College' ","'South West' ",30
2006 ,"'B72 University of Brighton' ","'North East' ",10
2006 ,"'B72 University of Brighton' ","'Yorkshire and The Humber' ",25
2006 ,"'B72 University of Brighton' ","'North West' ",35
2006 ,"'B72 University of Brighton' ","'East Midlands' ",75
2006 ,"'B72 University of Brighton' ","'West Midlands' ",70
2006 ,"'B72 University of Brighton' ","'East of England' ",380
2006 ,"'B72 University of Brighton' ","'London' ",615
2006 ,"'B72 University of Brighton' ","'South East' ",1620
2006 ,"'B72 University of Brighton' ","'South West' ",205
2006 ,"'B72 University of Brighton' ","'Wales' ",35
2006 ,"'B72 University of Brighton' ","'Scotland' ",10
2006 ,"'B72 University of Brighton' ","'Northern Ireland' ",10
2006 ,"'B74 Brighton and Sussex Medical School' ","'North West' ",5
2006 ,"'B74 Brighton and Sussex Medical School' ","'East Midlands' ",5
2006 ,"'B74 Brighton and Sussex Medical School' ","'West Midlands' ",5
2006 ,"'B74 Brighton and Sussex Medical School' ","'East of England' ",5
2006 ,"'B74 Brighton and Sussex Medical School' ","'London' ",15
2006 ,"'B74 Brighton and Sussex Medical School' ","'South East' ",60
2006 ,"'B74 Brighton and Sussex Medical School' ","'South West' ",10
2006 ,"'B74 Brighton and Sussex Medical School' ","'Wales' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'East Midlands' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'West Midlands' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'East of England' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'South East' ",10
2006 ,"'B77 Bristol, City of Bristol College' ","'South West' ",135
2006 ,"'B78 University of Bristol' ","'North East' ",35
2006 ,"'B78 University of Bristol' ","'Yorkshire and The Humber' ",105
2006 ,"'B78 University of Bristol' ","'North West' ",155
2006 ,"'B78 University of Bristol' ","'East Midlands' ",140
2006 ,"'B78 University of Bristol' ","'West Midlands' ",265
2006 ,"'B78 University of Bristol' ","'East of England' ",265
2006 ,"'B78 University of Bristol' ","'London' ",625
2006 ,"'B78 University of Bristol' ","'South East' ",820
2006 ,"'B78 University of Bristol' ","'South West' ",505
2006 ,"'B78 University of Bristol' ","'Wales' ",170
2006 ,"'B78 University of Bristol' ","'Scotland' ",35
2006 ,"'B78 University of Bristol' ","'Northern Ireland' ",25
2006 ,"'B79 Bristol Filton College' ","'South West' ",25
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'North East' ",20
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Yorkshire and The Humber' ",55
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'North West' ",105
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'East Midlands' ",90
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'West Midlands' ",330
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'East of England' ",195
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'London' ",285
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'South East' ",765
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'South West' ",2160
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Wales' ",315
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Scotland' ",10
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Northern Ireland' ",25
2006 ,"'B81 British College of Osteopathic Medicine' ","'East of England' ",5
2006 ,"'B81 British College of Osteopathic Medicine' ","'London' ",20
2006 ,"'B81 British College of Osteopathic Medicine' ","'South East' ",10
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'Yorkshire and The Humber' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'North West' ",5
