"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_006_01.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (High Level),Number of Acceptances,
2013 ,"'Wales' ","'Northern Ireland' ",160
2013 ,"'Wales' ","'Scotland' ",70
2013 ,"'Wales' ","'Wales' ",12190
2014 ,"'England' ","'England' ",366475
2014 ,"'England' ","'Northern Ireland' ",3480
2014 ,"'England' ","'Scotland' ",1525
2014 ,"'England' ","'Wales' ",8090
2014 ,"'Northern Ireland' ","'England' ",680
2014 ,"'Northern Ireland' ","'Northern Ireland' ",9855
2014 ,"'Northern Ireland' ","'Scotland' ",15
2014 ,"'Northern Ireland' ","'Wales' ",10
2014 ,"'Scotland' ","'England' ",4675
2014 ,"'Scotland' ","'Northern Ireland' ",970
2014 ,"'Scotland' ","'Scotland' ",28710
2014 ,"'Scotland' ","'Wales' ",115
2014 ,"'Wales' ","'England' ",10680
2014 ,"'Wales' ","'Northern Ireland' ",150
2014 ,"'Wales' ","'Scotland' ",65
2014 ,"'Wales' ","'Wales' ",11955
2015 ,"'England' ","'England' ",378760
2015 ,"'England' ","'Northern Ireland' ",3885
2015 ,"'England' ","'Scotland' ",1675
2015 ,"'England' ","'Wales' ",8380
2015 ,"'Northern Ireland' ","'England' ",620
2015 ,"'Northern Ireland' ","'Northern Ireland' ",8920
2015 ,"'Northern Ireland' ","'Scotland' ",25
2015 ,"'Northern Ireland' ","'Wales' ",15
2015 ,"'Scotland' ","'England' ",4560
2015 ,"'Scotland' ","'Northern Ireland' ",1075
2015 ,"'Scotland' ","'Scotland' ",33030
2015 ,"'Scotland' ","'Wales' ",120
2015 ,"'Wales' ","'England' ",10435
2015 ,"'Wales' ","'Northern Ireland' ",170
2015 ,"'Wales' ","'Scotland' ",45
2015 ,"'Wales' ","'Wales' ",11990
2016 ,"'England' ","'England' ",378310
2016 ,"'England' ","'Northern Ireland' ",4030
2016 ,"'England' ","'Scotland' ",1780
2016 ,"'England' ","'Wales' ",8405
2016 ,"'Northern Ireland' ","'England' ",345
2016 ,"'Northern Ireland' ","'Northern Ireland' ",9475
2016 ,"'Northern Ireland' ","'Scotland' ",20
2016 ,"'Northern Ireland' ","'Wales' ",10
2016 ,"'Scotland' ","'England' ",4810
2016 ,"'Scotland' ","'Northern Ireland' ",1105
2016 ,"'Scotland' ","'Scotland' ",33825
2016 ,"'Scotland' ","'Wales' ",135
2016 ,"'Wales' ","'England' ",10830
2016 ,"'Wales' ","'Northern Ireland' ",190
2016 ,"'Wales' ","'Scotland' ",50
2016 ,"'Wales' ","'Wales' ",12165
