"Statistic:   Number of Applicants"
"Variables:   Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_031_06.pdf"
 
Cycle Year,Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level),Number of Applicants,
2007 ,"'Other' ","'18' ","'Men' ","'Wales' ",100
2007 ,"'Other' ","'18' ","'Women' ","'England' ",3995
2007 ,"'Other' ","'18' ","'Women' ","'Northern Ireland' ",85
2007 ,"'Other' ","'18' ","'Women' ","'Scotland' ",110
2007 ,"'Other' ","'18' ","'Women' ","'Wales' ",140
2007 ,"'Other' ","'19' ","'Men' ","'England' ",5350
2007 ,"'Other' ","'19' ","'Men' ","'Northern Ireland' ",150
2007 ,"'Other' ","'19' ","'Men' ","'Scotland' ",235
2007 ,"'Other' ","'19' ","'Men' ","'Wales' ",300
2007 ,"'Other' ","'19' ","'Women' ","'England' ",8720
2007 ,"'Other' ","'19' ","'Women' ","'Northern Ireland' ",280
2007 ,"'Other' ","'19' ","'Women' ","'Scotland' ",345
2007 ,"'Other' ","'19' ","'Women' ","'Wales' ",490
2008 ,"'Academy' ","'18' ","'Men' ","'England' ",26000
2008 ,"'Academy' ","'18' ","'Men' ","'Scotland' ",5
2008 ,"'Academy' ","'18' ","'Men' ","'Wales' ",15
2008 ,"'Academy' ","'18' ","'Women' ","'England' ",32780
2008 ,"'Academy' ","'18' ","'Women' ","'Scotland' ",15
2008 ,"'Academy' ","'18' ","'Women' ","'Wales' ",20
2008 ,"'Academy' ","'19' ","'Men' ","'England' ",5585
2008 ,"'Academy' ","'19' ","'Men' ","'Scotland' ",5
2008 ,"'Academy' ","'19' ","'Men' ","'Wales' ",5
2008 ,"'Academy' ","'19' ","'Women' ","'England' ",6205
2008 ,"'Academy' ","'19' ","'Women' ","'Scotland' ",10
2008 ,"'Academy' ","'19' ","'Women' ","'Wales' ",5
2008 ,"'Further education' ","'18' ","'Men' ","'England' ",8380
2008 ,"'Further education' ","'18' ","'Men' ","'Northern Ireland' ",395
2008 ,"'Further education' ","'18' ","'Men' ","'Scotland' ",120
2008 ,"'Further education' ","'18' ","'Men' ","'Wales' ",790
2008 ,"'Further education' ","'18' ","'Women' ","'England' ",12105
2008 ,"'Further education' ","'18' ","'Women' ","'Northern Ireland' ",395
2008 ,"'Further education' ","'18' ","'Women' ","'Scotland' ",235
2008 ,"'Further education' ","'18' ","'Women' ","'Wales' ",1125
2008 ,"'Further education' ","'19' ","'Men' ","'England' ",7210
2008 ,"'Further education' ","'19' ","'Men' ","'Northern Ireland' ",270
2008 ,"'Further education' ","'19' ","'Men' ","'Scotland' ",460
2008 ,"'Further education' ","'19' ","'Men' ","'Wales' ",550
2008 ,"'Further education' ","'19' ","'Women' ","'England' ",9050
2008 ,"'Further education' ","'19' ","'Women' ","'Northern Ireland' ",375
2008 ,"'Further education' ","'19' ","'Women' ","'Scotland' ",800
2008 ,"'Further education' ","'19' ","'Women' ","'Wales' ",655
2008 ,"'Grammar' ","'18' ","'Men' ","'England' ",1830
2008 ,"'Grammar' ","'18' ","'Men' ","'Northern Ireland' ",3255
2008 ,"'Grammar' ","'18' ","'Women' ","'England' ",1965
2008 ,"'Grammar' ","'18' ","'Women' ","'Northern Ireland' ",4060
2008 ,"'Grammar' ","'19' ","'Men' ","'England' ",320
2008 ,"'Grammar' ","'19' ","'Men' ","'Northern Ireland' ",385
2008 ,"'Grammar' ","'19' ","'Women' ","'England' ",320
2008 ,"'Grammar' ","'19' ","'Women' ","'Northern Ireland' ",465
2008 ,"'Independent' ","'18' ","'Men' ","'England' ",12805
2008 ,"'Independent' ","'18' ","'Men' ","'Northern Ireland' ",45
2008 ,"'Independent' ","'18' ","'Men' ","'Scotland' ",1005
2008 ,"'Independent' ","'18' ","'Men' ","'Wales' ",260
2008 ,"'Independent' ","'18' ","'Women' ","'England' ",12185
2008 ,"'Independent' ","'18' ","'Women' ","'Northern Ireland' ",75
2008 ,"'Independent' ","'18' ","'Women' ","'Scotland' ",1075
2008 ,"'Independent' ","'18' ","'Women' ","'Wales' ",310
2008 ,"'Independent' ","'19' ","'Men' ","'England' ",3595
2008 ,"'Independent' ","'19' ","'Men' ","'Northern Ireland' ",5
2008 ,"'Independent' ","'19' ","'Men' ","'Scotland' ",335
2008 ,"'Independent' ","'19' ","'Men' ","'Wales' ",65
2008 ,"'Independent' ","'19' ","'Women' ","'England' ",3165
2008 ,"'Independent' ","'19' ","'Women' ","'Northern Ireland' ",15
2008 ,"'Independent' ","'19' ","'Women' ","'Scotland' ",305
2008 ,"'Independent' ","'19' ","'Women' ","'Wales' ",65
2008 ,"'Sixth form college' ","'18' ","'Men' ","'England' ",17945
2008 ,"'Sixth form college' ","'18' ","'Men' ","'Northern Ireland' ",20
2008 ,"'Sixth form college' ","'18' ","'Men' ","'Scotland' ",5
2008 ,"'Sixth form college' ","'18' ","'Men' ","'Wales' ",165
2008 ,"'Sixth form college' ","'18' ","'Women' ","'England' ",24995
2008 ,"'Sixth form college' ","'18' ","'Women' ","'Northern Ireland' ",40
2008 ,"'Sixth form college' ","'18' ","'Women' ","'Scotland' ",5
2008 ,"'Sixth form college' ","'18' ","'Women' ","'Wales' ",275
2008 ,"'Sixth form college' ","'19' ","'Men' ","'England' ",7505
2008 ,"'Sixth form college' ","'19' ","'Men' ","'Northern Ireland' ",15
2008 ,"'Sixth form college' ","'19' ","'Men' ","'Scotland' ",5
2008 ,"'Sixth form college' ","'19' ","'Men' ","'Wales' ",140
2008 ,"'Sixth form college' ","'19' ","'Women' ","'England' ",9010
2008 ,"'Sixth form college' ","'19' ","'Women' ","'Northern Ireland' ",35
2008 ,"'Sixth form college' ","'19' ","'Women' ","'Scotland' ",5
2008 ,"'Sixth form college' ","'19' ","'Women' ","'Wales' ",210
2008 ,"'State' ","'18' ","'Men' ","'England' ",18375
2008 ,"'State' ","'18' ","'Men' ","'Northern Ireland' ",800
2008 ,"'State' ","'18' ","'Men' ","'Scotland' ",6500
2008 ,"'State' ","'18' ","'Men' ","'Wales' ",3335
2008 ,"'State' ","'18' ","'Women' ","'England' ",23990
2008 ,"'State' ","'18' ","'Women' ","'Northern Ireland' ",1720
2008 ,"'State' ","'18' ","'Women' ","'Scotland' ",8455
2008 ,"'State' ","'18' ","'Women' ","'Wales' ",4575
2008 ,"'State' ","'19' ","'Men' ","'England' ",5095
2008 ,"'State' ","'19' ","'Men' ","'Northern Ireland' ",160
2008 ,"'State' ","'19' ","'Men' ","'Scotland' ",755
2008 ,"'State' ","'19' ","'Men' ","'Wales' ",585
2008 ,"'State' ","'19' ","'Women' ","'England' ",5915
2008 ,"'State' ","'19' ","'Women' ","'Northern Ireland' ",280
2008 ,"'State' ","'19' ","'Women' ","'Scotland' ",895
2008 ,"'State' ","'19' ","'Women' ","'Wales' ",715
2008 ,"'Other' ","'18' ","'Men' ","'England' ",2715
2008 ,"'Other' ","'18' ","'Men' ","'Northern Ireland' ",25
2008 ,"'Other' ","'18' ","'Men' ","'Scotland' ",55
2008 ,"'Other' ","'18' ","'Men' ","'Wales' ",95
