"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_012_02.pdf"
 
Cycle Year,Provider Name , Ethnic Group (Summary Level),Number of Acceptances,
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Asian' ",15
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Black' ",5
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Mixed' ",25
2006 ,"'B53 The Arts Institute at Bournemouth' ","'White' ",520
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Unknown' ",5
2006 ,"'B56 The University of Bradford' ","'Asian' ",700
2006 ,"'B56 The University of Bradford' ","'Black' ",80
2006 ,"'B56 The University of Bradford' ","'Mixed' ",25
2006 ,"'B56 The University of Bradford' ","'White' ",575
2006 ,"'B56 The University of Bradford' ","'Other' ",15
2006 ,"'B56 The University of Bradford' ","'Unknown' ",20
2006 ,"'B60 Bradford College' ","'Asian' ",115
2006 ,"'B60 Bradford College' ","'Black' ",10
2006 ,"'B60 Bradford College' ","'Mixed' ",5
2006 ,"'B60 Bradford College' ","'White' ",240
2006 ,"'B60 Bradford College' ","'Unknown' ",5
2006 ,"'B70 Bridgwater College' ","'White' ",30
2006 ,"'B72 University of Brighton' ","'Asian' ",140
2006 ,"'B72 University of Brighton' ","'Black' ",125
2006 ,"'B72 University of Brighton' ","'Mixed' ",120
2006 ,"'B72 University of Brighton' ","'White' ",2635
2006 ,"'B72 University of Brighton' ","'Other' ",35
2006 ,"'B72 University of Brighton' ","'Unknown' ",35
2006 ,"'B74 Brighton and Sussex Medical School' ","'Asian' ",10
2006 ,"'B74 Brighton and Sussex Medical School' ","'Black' ",5
2006 ,"'B74 Brighton and Sussex Medical School' ","'Mixed' ",10
2006 ,"'B74 Brighton and Sussex Medical School' ","'White' ",90
2006 ,"'B74 Brighton and Sussex Medical School' ","'Other' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'Asian' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'Black' ",15
2006 ,"'B77 Bristol, City of Bristol College' ","'White' ",140
2006 ,"'B78 University of Bristol' ","'Asian' ",155
2006 ,"'B78 University of Bristol' ","'Black' ",40
2006 ,"'B78 University of Bristol' ","'Mixed' ",100
2006 ,"'B78 University of Bristol' ","'White' ",2775
2006 ,"'B78 University of Bristol' ","'Other' ",25
2006 ,"'B78 University of Bristol' ","'Unknown' ",50
2006 ,"'B79 Bristol Filton College' ","'White' ",30
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Asian' ",175
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Black' ",155
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Mixed' ",140
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'White' ",3810
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Other' ",25
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Unknown' ",45
2006 ,"'B81 British College of Osteopathic Medicine' ","'Asian' ",5
2006 ,"'B81 British College of Osteopathic Medicine' ","'White' ",30
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'White' ",35
2006 ,"'B84 Brunel University London' ","'Asian' ",680
2006 ,"'B84 Brunel University London' ","'Black' ",525
2006 ,"'B84 Brunel University London' ","'Mixed' ",135
2006 ,"'B84 Brunel University London' ","'White' ",985
2006 ,"'B84 Brunel University London' ","'Other' ",80
2006 ,"'B84 Brunel University London' ","'Unknown' ",40
2006 ,"'B87 British School of Osteopathy' ","'Asian' ",5
2006 ,"'B87 British School of Osteopathy' ","'Mixed' ",5
2006 ,"'B87 British School of Osteopathy' ","'White' ",60
2006 ,"'B88 Brockenhurst College' ","'White' ",5
2006 ,"'B89 Broxtowe College, Nottingham' ","'White' ",5
2006 ,"'B90 The University of Buckingham' ","'Asian' ",5
2006 ,"'B90 The University of Buckingham' ","'White' ",10
2006 ,"'B94 Buckinghamshire New University' ","'Asian' ",110
2006 ,"'B94 Buckinghamshire New University' ","'Black' ",100
2006 ,"'B94 Buckinghamshire New University' ","'Mixed' ",35
2006 ,"'B94 Buckinghamshire New University' ","'White' ",790
2006 ,"'B94 Buckinghamshire New University' ","'Other' ",10
2006 ,"'B94 Buckinghamshire New University' ","'Unknown' ",20
2006 ,"'C05 University of Cambridge' ","'Asian' ",240
2006 ,"'C05 University of Cambridge' ","'Black' ",20
2006 ,"'C05 University of Cambridge' ","'Mixed' ",110
2006 ,"'C05 University of Cambridge' ","'White' ",2340
2006 ,"'C05 University of Cambridge' ","'Other' ",25
2006 ,"'C05 University of Cambridge' ","'Unknown' ",60
2006 ,"'C10 Canterbury Christ Church University' ","'Asian' ",25
2006 ,"'C10 Canterbury Christ Church University' ","'Black' ",55
2006 ,"'C10 Canterbury Christ Church University' ","'Mixed' ",30
2006 ,"'C10 Canterbury Christ Church University' ","'White' ",1555
2006 ,"'C10 Canterbury Christ Church University' ","'Other' ",5
2006 ,"'C10 Canterbury Christ Church University' ","'Unknown' ",15
2006 ,"'C13 Capel Manor College' ","'White' ",5
2006 ,"'C15 Cardiff University' ","'Asian' ",185
2006 ,"'C15 Cardiff University' ","'Black' ",25
2006 ,"'C15 Cardiff University' ","'Mixed' ",65
2006 ,"'C15 Cardiff University' ","'White' ",3775
2006 ,"'C15 Cardiff University' ","'Other' ",15
2006 ,"'C15 Cardiff University' ","'Unknown' ",50
2006 ,"'C20 Cardiff Metropolitan University' ","'Asian' ",50
2006 ,"'C20 Cardiff Metropolitan University' ","'Black' ",20
2006 ,"'C20 Cardiff Metropolitan University' ","'Mixed' ",30
2006 ,"'C20 Cardiff Metropolitan University' ","'White' ",1710
2006 ,"'C20 Cardiff Metropolitan University' ","'Other' ",10
2006 ,"'C20 Cardiff Metropolitan University' ","'Unknown' ",15
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'White' ",80
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Asian' ",555
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Black' ",225
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Mixed' ",75
