"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , POLAR3 Quintile , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_042_06.pdf"
 
Cycle Year,Achieved A-Level point score , POLAR3 Quintile,Number of Applicants,
2011 ,"'3 points' ","'POLAR3 Quintile 4' ",75
2011 ,"'3 points' ","'POLAR3 Quintile 5' ",70
2011 ,"'4 points' ","'POLAR3 Quintile 1' ",175
2011 ,"'4 points' ","'POLAR3 Quintile 2' ",255
2011 ,"'4 points' ","'POLAR3 Quintile 3' ",270
2011 ,"'4 points' ","'POLAR3 Quintile 4' ",285
2011 ,"'4 points' ","'POLAR3 Quintile 5' ",310
2011 ,"'4 points' ","'Not assigned' ",5
2011 ,"'5 points' ","'POLAR3 Quintile 1' ",350
2011 ,"'5 points' ","'POLAR3 Quintile 2' ",595
2011 ,"'5 points' ","'POLAR3 Quintile 3' ",675
2011 ,"'5 points' ","'POLAR3 Quintile 4' ",775
2011 ,"'5 points' ","'POLAR3 Quintile 5' ",745
2011 ,"'5 points' ","'Not assigned' ",10
2011 ,"'6 points' ","'POLAR3 Quintile 1' ",785
2011 ,"'6 points' ","'POLAR3 Quintile 2' ",1065
2011 ,"'6 points' ","'POLAR3 Quintile 3' ",1280
2011 ,"'6 points' ","'POLAR3 Quintile 4' ",1375
2011 ,"'6 points' ","'POLAR3 Quintile 5' ",1450
2011 ,"'6 points' ","'Not assigned' ",10
2011 ,"'7 points' ","'POLAR3 Quintile 1' ",1160
2011 ,"'7 points' ","'POLAR3 Quintile 2' ",1670
2011 ,"'7 points' ","'POLAR3 Quintile 3' ",1945
2011 ,"'7 points' ","'POLAR3 Quintile 4' ",2245
2011 ,"'7 points' ","'POLAR3 Quintile 5' ",2385
2011 ,"'7 points' ","'Not assigned' ",5
2011 ,"'8 points' ","'POLAR3 Quintile 1' ",1505
2011 ,"'8 points' ","'POLAR3 Quintile 2' ",2120
2011 ,"'8 points' ","'POLAR3 Quintile 3' ",2690
2011 ,"'8 points' ","'POLAR3 Quintile 4' ",3055
2011 ,"'8 points' ","'POLAR3 Quintile 5' ",3525
2011 ,"'8 points' ","'Not assigned' ",25
2011 ,"'9 points' ","'POLAR3 Quintile 1' ",1815
2011 ,"'9 points' ","'POLAR3 Quintile 2' ",2610
2011 ,"'9 points' ","'POLAR3 Quintile 3' ",3345
2011 ,"'9 points' ","'POLAR3 Quintile 4' ",3955
2011 ,"'9 points' ","'POLAR3 Quintile 5' ",4620
2011 ,"'9 points' ","'Not assigned' ",20
2011 ,"'10 points' ","'POLAR3 Quintile 1' ",1820
2011 ,"'10 points' ","'POLAR3 Quintile 2' ",2820
2011 ,"'10 points' ","'POLAR3 Quintile 3' ",3670
2011 ,"'10 points' ","'POLAR3 Quintile 4' ",4530
2011 ,"'10 points' ","'POLAR3 Quintile 5' ",5585
2011 ,"'10 points' ","'Not assigned' ",25
2011 ,"'11 points' ","'POLAR3 Quintile 1' ",1740
2011 ,"'11 points' ","'POLAR3 Quintile 2' ",2700
2011 ,"'11 points' ","'POLAR3 Quintile 3' ",3600
2011 ,"'11 points' ","'POLAR3 Quintile 4' ",4725
2011 ,"'11 points' ","'POLAR3 Quintile 5' ",6040
2011 ,"'11 points' ","'Not assigned' ",30
2011 ,"'12 points' ","'POLAR3 Quintile 1' ",1600
2011 ,"'12 points' ","'POLAR3 Quintile 2' ",2680
2011 ,"'12 points' ","'POLAR3 Quintile 3' ",3590
2011 ,"'12 points' ","'POLAR3 Quintile 4' ",4905
2011 ,"'12 points' ","'POLAR3 Quintile 5' ",6580
2011 ,"'12 points' ","'Not assigned' ",35
2011 ,"'13 points' ","'POLAR3 Quintile 1' ",1310
2011 ,"'13 points' ","'POLAR3 Quintile 2' ",2210
2011 ,"'13 points' ","'POLAR3 Quintile 3' ",3270
2011 ,"'13 points' ","'POLAR3 Quintile 4' ",4540
2011 ,"'13 points' ","'POLAR3 Quintile 5' ",6695
2011 ,"'13 points' ","'Not assigned' ",35
2011 ,"'14 points' ","'POLAR3 Quintile 1' ",1080
2011 ,"'14 points' ","'POLAR3 Quintile 2' ",1825
2011 ,"'14 points' ","'POLAR3 Quintile 3' ",2780
2011 ,"'14 points' ","'POLAR3 Quintile 4' ",4145
2011 ,"'14 points' ","'POLAR3 Quintile 5' ",6690
2011 ,"'14 points' ","'Not assigned' ",35
2011 ,"'15 points' ","'POLAR3 Quintile 1' ",885
2011 ,"'15 points' ","'POLAR3 Quintile 2' ",1715
2011 ,"'15 points' ","'POLAR3 Quintile 3' ",2555
2011 ,"'15 points' ","'POLAR3 Quintile 4' ",4100
2011 ,"'15 points' ","'POLAR3 Quintile 5' ",6875
2011 ,"'15 points' ","'Not assigned' ",30
2011 ,"'16 points' ","'POLAR3 Quintile 1' ",630
2011 ,"'16 points' ","'POLAR3 Quintile 2' ",1175
2011 ,"'16 points' ","'POLAR3 Quintile 3' ",1845
2011 ,"'16 points' ","'POLAR3 Quintile 4' ",2885
2011 ,"'16 points' ","'POLAR3 Quintile 5' ",5650
2011 ,"'16 points' ","'Not assigned' ",20
2011 ,"'17 points' ","'POLAR3 Quintile 1' ",290
2011 ,"'17 points' ","'POLAR3 Quintile 2' ",600
2011 ,"'17 points' ","'POLAR3 Quintile 3' ",1080
2011 ,"'17 points' ","'POLAR3 Quintile 4' ",1800
2011 ,"'17 points' ","'POLAR3 Quintile 5' ",3435
2011 ,"'17 points' ","'Not assigned' ",5
2011 ,"'18 points' ","'POLAR3 Quintile 1' ",215
2011 ,"'18 points' ","'POLAR3 Quintile 2' ",450
2011 ,"'18 points' ","'POLAR3 Quintile 3' ",760
2011 ,"'18 points' ","'POLAR3 Quintile 4' ",1265
2011 ,"'18 points' ","'POLAR3 Quintile 5' ",3055
2011 ,"'18 points' ","'Not assigned' ",10
2012 ,"'3 points' ","'POLAR3 Quintile 1' ",45
2012 ,"'3 points' ","'POLAR3 Quintile 2' ",40
2012 ,"'3 points' ","'POLAR3 Quintile 3' ",60
2012 ,"'3 points' ","'POLAR3 Quintile 4' ",35
2012 ,"'3 points' ","'POLAR3 Quintile 5' ",65
2012 ,"'4 points' ","'POLAR3 Quintile 1' ",180
2012 ,"'4 points' ","'POLAR3 Quintile 2' ",180
2012 ,"'4 points' ","'POLAR3 Quintile 3' ",255
2012 ,"'4 points' ","'POLAR3 Quintile 4' ",285
2012 ,"'4 points' ","'POLAR3 Quintile 5' ",265
2012 ,"'4 points' ","'Not assigned' ",5
2012 ,"'5 points' ","'POLAR3 Quintile 1' ",380
2012 ,"'5 points' ","'POLAR3 Quintile 2' ",485
2012 ,"'5 points' ","'POLAR3 Quintile 3' ",595
2012 ,"'5 points' ","'POLAR3 Quintile 4' ",650
2012 ,"'5 points' ","'POLAR3 Quintile 5' ",695
2012 ,"'5 points' ","'Not assigned' ",5
2012 ,"'6 points' ","'POLAR3 Quintile 1' ",715
2012 ,"'6 points' ","'POLAR3 Quintile 2' ",980
2012 ,"'6 points' ","'POLAR3 Quintile 3' ",1185
2012 ,"'6 points' ","'POLAR3 Quintile 4' ",1205
2012 ,"'6 points' ","'POLAR3 Quintile 5' ",1430
2012 ,"'6 points' ","'Not assigned' ",5
2012 ,"'7 points' ","'POLAR3 Quintile 1' ",1025
2012 ,"'7 points' ","'POLAR3 Quintile 2' ",1580
2012 ,"'7 points' ","'POLAR3 Quintile 3' ",1925
2012 ,"'7 points' ","'POLAR3 Quintile 4' ",1965
2012 ,"'7 points' ","'POLAR3 Quintile 5' ",2190
2012 ,"'7 points' ","'Not assigned' ",20
2012 ,"'8 points' ","'POLAR3 Quintile 1' ",1305
2012 ,"'8 points' ","'POLAR3 Quintile 2' ",1995
2012 ,"'8 points' ","'POLAR3 Quintile 3' ",2520
2012 ,"'8 points' ","'POLAR3 Quintile 4' ",2875
2012 ,"'8 points' ","'POLAR3 Quintile 5' ",3195
2012 ,"'8 points' ","'Not assigned' ",15
2012 ,"'9 points' ","'POLAR3 Quintile 1' ",1625
2012 ,"'9 points' ","'POLAR3 Quintile 2' ",2420
2012 ,"'9 points' ","'POLAR3 Quintile 3' ",3215
2012 ,"'9 points' ","'POLAR3 Quintile 4' ",3745
2012 ,"'9 points' ","'POLAR3 Quintile 5' ",4255
2012 ,"'9 points' ","'Not assigned' ",20
2012 ,"'10 points' ","'POLAR3 Quintile 1' ",1735
2012 ,"'10 points' ","'POLAR3 Quintile 2' ",2695
2012 ,"'10 points' ","'POLAR3 Quintile 3' ",3420
2012 ,"'10 points' ","'POLAR3 Quintile 4' ",4300
2012 ,"'10 points' ","'POLAR3 Quintile 5' ",5260
2012 ,"'10 points' ","'Not assigned' ",40
