"Statistic:   Number of Acceptances"
"Variables:   Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_031_05.pdf"
 
Cycle Year,Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level),Number of Acceptances,
2007 ,"'Other' ","'18' ","'Women' ","'Wales' ",115
2007 ,"'Other' ","'19' ","'Men' ","'England' ",4470
2007 ,"'Other' ","'19' ","'Men' ","'Northern Ireland' ",115
2007 ,"'Other' ","'19' ","'Men' ","'Scotland' ",180
2007 ,"'Other' ","'19' ","'Men' ","'Wales' ",260
2007 ,"'Other' ","'19' ","'Women' ","'England' ",7230
2007 ,"'Other' ","'19' ","'Women' ","'Northern Ireland' ",220
2007 ,"'Other' ","'19' ","'Women' ","'Scotland' ",255
2007 ,"'Other' ","'19' ","'Women' ","'Wales' ",415
2008 ,"'Academy' ","'18' ","'Men' ","'England' ",22675
2008 ,"'Academy' ","'18' ","'Men' ","'Wales' ",10
2008 ,"'Academy' ","'18' ","'Women' ","'England' ",28435
2008 ,"'Academy' ","'18' ","'Women' ","'Scotland' ",15
2008 ,"'Academy' ","'18' ","'Women' ","'Wales' ",20
2008 ,"'Academy' ","'19' ","'Men' ","'England' ",4920
2008 ,"'Academy' ","'19' ","'Men' ","'Scotland' ",5
2008 ,"'Academy' ","'19' ","'Men' ","'Wales' ",5
2008 ,"'Academy' ","'19' ","'Women' ","'England' ",5365
2008 ,"'Academy' ","'19' ","'Women' ","'Scotland' ",10
2008 ,"'Academy' ","'19' ","'Women' ","'Wales' ",5
2008 ,"'Further education' ","'18' ","'Men' ","'England' ",6880
2008 ,"'Further education' ","'18' ","'Men' ","'Northern Ireland' ",275
2008 ,"'Further education' ","'18' ","'Men' ","'Scotland' ",80
2008 ,"'Further education' ","'18' ","'Men' ","'Wales' ",635
2008 ,"'Further education' ","'18' ","'Women' ","'England' ",9685
2008 ,"'Further education' ","'18' ","'Women' ","'Northern Ireland' ",265
2008 ,"'Further education' ","'18' ","'Women' ","'Scotland' ",155
2008 ,"'Further education' ","'18' ","'Women' ","'Wales' ",920
2008 ,"'Further education' ","'19' ","'Men' ","'England' ",6050
2008 ,"'Further education' ","'19' ","'Men' ","'Northern Ireland' ",195
2008 ,"'Further education' ","'19' ","'Men' ","'Scotland' ",320
2008 ,"'Further education' ","'19' ","'Men' ","'Wales' ",445
2008 ,"'Further education' ","'19' ","'Women' ","'England' ",7340
2008 ,"'Further education' ","'19' ","'Women' ","'Northern Ireland' ",275
2008 ,"'Further education' ","'19' ","'Women' ","'Scotland' ",545
2008 ,"'Further education' ","'19' ","'Women' ","'Wales' ",515
2008 ,"'Grammar' ","'18' ","'Men' ","'England' ",1615
2008 ,"'Grammar' ","'18' ","'Men' ","'Northern Ireland' ",2850
2008 ,"'Grammar' ","'18' ","'Women' ","'England' ",1755
2008 ,"'Grammar' ","'18' ","'Women' ","'Northern Ireland' ",3485
2008 ,"'Grammar' ","'19' ","'Men' ","'England' ",300
2008 ,"'Grammar' ","'19' ","'Men' ","'Northern Ireland' ",335
2008 ,"'Grammar' ","'19' ","'Women' ","'England' ",275
2008 ,"'Grammar' ","'19' ","'Women' ","'Northern Ireland' ",395
2008 ,"'Independent' ","'18' ","'Men' ","'England' ",10650
2008 ,"'Independent' ","'18' ","'Men' ","'Northern Ireland' ",35
2008 ,"'Independent' ","'18' ","'Men' ","'Scotland' ",880
2008 ,"'Independent' ","'18' ","'Men' ","'Wales' ",235
2008 ,"'Independent' ","'18' ","'Women' ","'England' ",10465
2008 ,"'Independent' ","'18' ","'Women' ","'Northern Ireland' ",55
2008 ,"'Independent' ","'18' ","'Women' ","'Scotland' ",950
2008 ,"'Independent' ","'18' ","'Women' ","'Wales' ",270
2008 ,"'Independent' ","'19' ","'Men' ","'England' ",3275
2008 ,"'Independent' ","'19' ","'Men' ","'Northern Ireland' ",5
2008 ,"'Independent' ","'19' ","'Men' ","'Scotland' ",280
2008 ,"'Independent' ","'19' ","'Men' ","'Wales' ",60
2008 ,"'Independent' ","'19' ","'Women' ","'England' ",2840
2008 ,"'Independent' ","'19' ","'Women' ","'Northern Ireland' ",15
2008 ,"'Independent' ","'19' ","'Women' ","'Scotland' ",255
2008 ,"'Independent' ","'19' ","'Women' ","'Wales' ",60
2008 ,"'Sixth form college' ","'18' ","'Men' ","'England' ",15550
2008 ,"'Sixth form college' ","'18' ","'Men' ","'Northern Ireland' ",15
2008 ,"'Sixth form college' ","'18' ","'Men' ","'Scotland' ",5
2008 ,"'Sixth form college' ","'18' ","'Men' ","'Wales' ",135
2008 ,"'Sixth form college' ","'18' ","'Women' ","'England' ",21515
2008 ,"'Sixth form college' ","'18' ","'Women' ","'Northern Ireland' ",25
2008 ,"'Sixth form college' ","'18' ","'Women' ","'Wales' ",220
2008 ,"'Sixth form college' ","'19' ","'Men' ","'England' ",6530
2008 ,"'Sixth form college' ","'19' ","'Men' ","'Northern Ireland' ",15
2008 ,"'Sixth form college' ","'19' ","'Men' ","'Scotland' ",5
2008 ,"'Sixth form college' ","'19' ","'Men' ","'Wales' ",115
2008 ,"'Sixth form college' ","'19' ","'Women' ","'England' ",7695
2008 ,"'Sixth form college' ","'19' ","'Women' ","'Northern Ireland' ",25
2008 ,"'Sixth form college' ","'19' ","'Women' ","'Scotland' ",5
2008 ,"'Sixth form college' ","'19' ","'Women' ","'Wales' ",160
2008 ,"'State' ","'18' ","'Men' ","'England' ",15755
2008 ,"'State' ","'18' ","'Men' ","'Northern Ireland' ",595
2008 ,"'State' ","'18' ","'Men' ","'Scotland' ",5295
2008 ,"'State' ","'18' ","'Men' ","'Wales' ",2970
2008 ,"'State' ","'18' ","'Women' ","'England' ",20540
2008 ,"'State' ","'18' ","'Women' ","'Northern Ireland' ",1245
2008 ,"'State' ","'18' ","'Women' ","'Scotland' ",6505
2008 ,"'State' ","'18' ","'Women' ","'Wales' ",4030
2008 ,"'State' ","'19' ","'Men' ","'England' ",4465
2008 ,"'State' ","'19' ","'Men' ","'Northern Ireland' ",125
2008 ,"'State' ","'19' ","'Men' ","'Scotland' ",610
2008 ,"'State' ","'19' ","'Men' ","'Wales' ",520
2008 ,"'State' ","'19' ","'Women' ","'England' ",4970
2008 ,"'State' ","'19' ","'Women' ","'Northern Ireland' ",200
2008 ,"'State' ","'19' ","'Women' ","'Scotland' ",695
2008 ,"'State' ","'19' ","'Women' ","'Wales' ",590
2008 ,"'Other' ","'18' ","'Men' ","'England' ",2215
2008 ,"'Other' ","'18' ","'Men' ","'Northern Ireland' ",20
2008 ,"'Other' ","'18' ","'Men' ","'Scotland' ",40
2008 ,"'Other' ","'18' ","'Men' ","'Wales' ",85
2008 ,"'Other' ","'18' ","'Women' ","'England' ",3320
2008 ,"'Other' ","'18' ","'Women' ","'Northern Ireland' ",65
2008 ,"'Other' ","'18' ","'Women' ","'Scotland' ",55
2008 ,"'Other' ","'18' ","'Women' ","'Wales' ",125
2008 ,"'Other' ","'19' ","'Men' ","'England' ",3315
2008 ,"'Other' ","'19' ","'Men' ","'Northern Ireland' ",45
2008 ,"'Other' ","'19' ","'Men' ","'Scotland' ",120
2008 ,"'Other' ","'19' ","'Men' ","'Wales' ",130
2008 ,"'Other' ","'19' ","'Women' ","'England' ",5435
2008 ,"'Other' ","'19' ","'Women' ","'Northern Ireland' ",105
2008 ,"'Other' ","'19' ","'Women' ","'Scotland' ",165
2008 ,"'Other' ","'19' ","'Women' ","'Wales' ",280
2009 ,"'Academy' ","'18' ","'Men' ","'England' ",23760
2009 ,"'Academy' ","'18' ","'Men' ","'Scotland' ",15
2009 ,"'Academy' ","'18' ","'Men' ","'Wales' ",15
2009 ,"'Academy' ","'18' ","'Women' ","'England' ",29400
2009 ,"'Academy' ","'18' ","'Women' ","'Scotland' ",5
2009 ,"'Academy' ","'18' ","'Women' ","'Wales' ",25
2009 ,"'Academy' ","'19' ","'Men' ","'England' ",5565
2009 ,"'Academy' ","'19' ","'Men' ","'Scotland' ",5
2009 ,"'Academy' ","'19' ","'Men' ","'Wales' ",10
2009 ,"'Academy' ","'19' ","'Women' ","'England' ",5750
2009 ,"'Academy' ","'19' ","'Women' ","'Scotland' ",5
2009 ,"'Academy' ","'19' ","'Women' ","'Wales' ",5
2009 ,"'Further education' ","'18' ","'Men' ","'England' ",7465
2009 ,"'Further education' ","'18' ","'Men' ","'Northern Ireland' ",260
2009 ,"'Further education' ","'18' ","'Men' ","'Scotland' ",75
2009 ,"'Further education' ","'18' ","'Men' ","'Wales' ",745
2009 ,"'Further education' ","'18' ","'Women' ","'England' ",10125
2009 ,"'Further education' ","'18' ","'Women' ","'Northern Ireland' ",295
2009 ,"'Further education' ","'18' ","'Women' ","'Scotland' ",165
2009 ,"'Further education' ","'18' ","'Women' ","'Wales' ",1080
2009 ,"'Further education' ","'19' ","'Men' ","'England' ",6725
2009 ,"'Further education' ","'19' ","'Men' ","'Northern Ireland' ",230
2009 ,"'Further education' ","'19' ","'Men' ","'Scotland' ",410
2009 ,"'Further education' ","'19' ","'Men' ","'Wales' ",560
2009 ,"'Further education' ","'19' ","'Women' ","'England' ",8070
2009 ,"'Further education' ","'19' ","'Women' ","'Northern Ireland' ",270
2009 ,"'Further education' ","'19' ","'Women' ","'Scotland' ",630
2009 ,"'Further education' ","'19' ","'Women' ","'Wales' ",650
2009 ,"'Grammar' ","'18' ","'Men' ","'England' ",1580
2009 ,"'Grammar' ","'18' ","'Men' ","'Northern Ireland' ",2965
2009 ,"'Grammar' ","'18' ","'Women' ","'England' ",1655
2009 ,"'Grammar' ","'18' ","'Women' ","'Northern Ireland' ",3505
2009 ,"'Grammar' ","'19' ","'Men' ","'England' ",300
2009 ,"'Grammar' ","'19' ","'Men' ","'Northern Ireland' ",345
2009 ,"'Grammar' ","'19' ","'Women' ","'England' ",315
2009 ,"'Grammar' ","'19' ","'Women' ","'Northern Ireland' ",340
2009 ,"'Independent' ","'18' ","'Men' ","'England' ",10610
2009 ,"'Independent' ","'18' ","'Men' ","'Northern Ireland' ",40
2009 ,"'Independent' ","'18' ","'Men' ","'Scotland' ",915
2009 ,"'Independent' ","'18' ","'Men' ","'Wales' ",260
2009 ,"'Independent' ","'18' ","'Women' ","'England' ",10375
2009 ,"'Independent' ","'18' ","'Women' ","'Northern Ireland' ",55
2009 ,"'Independent' ","'18' ","'Women' ","'Scotland' ",945
2009 ,"'Independent' ","'18' ","'Women' ","'Wales' ",265
2009 ,"'Independent' ","'19' ","'Men' ","'England' ",3530
2009 ,"'Independent' ","'19' ","'Men' ","'Northern Ireland' ",10
2009 ,"'Independent' ","'19' ","'Men' ","'Scotland' ",320
2009 ,"'Independent' ","'19' ","'Men' ","'Wales' ",50
2009 ,"'Independent' ","'19' ","'Women' ","'England' ",2995
2009 ,"'Independent' ","'19' ","'Women' ","'Northern Ireland' ",10
2009 ,"'Independent' ","'19' ","'Women' ","'Scotland' ",255
2009 ,"'Independent' ","'19' ","'Women' ","'Wales' ",75
2009 ,"'Sixth form college' ","'18' ","'Men' ","'England' ",16660
2009 ,"'Sixth form college' ","'18' ","'Men' ","'Northern Ireland' ",25
2009 ,"'Sixth form college' ","'18' ","'Men' ","'Scotland' ",5
2009 ,"'Sixth form college' ","'18' ","'Men' ","'Wales' ",185
2009 ,"'Sixth form college' ","'18' ","'Women' ","'England' ",22960
2009 ,"'Sixth form college' ","'18' ","'Women' ","'Northern Ireland' ",15
2009 ,"'Sixth form college' ","'18' ","'Women' ","'Wales' ",260
2009 ,"'Sixth form college' ","'19' ","'Men' ","'England' ",7175
2009 ,"'Sixth form college' ","'19' ","'Men' ","'Northern Ireland' ",15
2009 ,"'Sixth form college' ","'19' ","'Men' ","'Wales' ",165
2009 ,"'Sixth form college' ","'19' ","'Women' ","'England' ",8195
2009 ,"'Sixth form college' ","'19' ","'Women' ","'Northern Ireland' ",25
2009 ,"'Sixth form college' ","'19' ","'Women' ","'Scotland' ",5
2009 ,"'Sixth form college' ","'19' ","'Women' ","'Wales' ",165
2009 ,"'State' ","'18' ","'Men' ","'England' ",16265
2009 ,"'State' ","'18' ","'Men' ","'Northern Ireland' ",720
2009 ,"'State' ","'18' ","'Men' ","'Scotland' ",5550
2009 ,"'State' ","'18' ","'Men' ","'Wales' ",3190
2009 ,"'State' ","'18' ","'Women' ","'England' ",20400
2009 ,"'State' ","'18' ","'Women' ","'Northern Ireland' ",1310
2009 ,"'State' ","'18' ","'Women' ","'Scotland' ",6755
2009 ,"'State' ","'18' ","'Women' ","'Wales' ",4135
2009 ,"'State' ","'19' ","'Men' ","'England' ",4940
2009 ,"'State' ","'19' ","'Men' ","'Northern Ireland' ",105
2009 ,"'State' ","'19' ","'Men' ","'Scotland' ",735
2009 ,"'State' ","'19' ","'Men' ","'Wales' ",570
2009 ,"'State' ","'19' ","'Women' ","'England' ",5170
2009 ,"'State' ","'19' ","'Women' ","'Northern Ireland' ",175
2009 ,"'State' ","'19' ","'Women' ","'Scotland' ",715
2009 ,"'State' ","'19' ","'Women' ","'Wales' ",585
2009 ,"'Other' ","'18' ","'Men' ","'England' ",2380
2009 ,"'Other' ","'18' ","'Men' ","'Northern Ireland' ",25
2009 ,"'Other' ","'18' ","'Men' ","'Scotland' ",60
2009 ,"'Other' ","'18' ","'Men' ","'Wales' ",90
2009 ,"'Other' ","'18' ","'Women' ","'England' ",3465
2009 ,"'Other' ","'18' ","'Women' ","'Northern Ireland' ",45
2009 ,"'Other' ","'18' ","'Women' ","'Scotland' ",75
2009 ,"'Other' ","'18' ","'Women' ","'Wales' ",115
2009 ,"'Other' ","'19' ","'Men' ","'England' ",3385
2009 ,"'Other' ","'19' ","'Men' ","'Northern Ireland' ",30
2009 ,"'Other' ","'19' ","'Men' ","'Scotland' ",130
2009 ,"'Other' ","'19' ","'Men' ","'Wales' ",110
2009 ,"'Other' ","'19' ","'Women' ","'England' ",5605
2009 ,"'Other' ","'19' ","'Women' ","'Northern Ireland' ",30
2009 ,"'Other' ","'19' ","'Women' ","'Scotland' ",180
2009 ,"'Other' ","'19' ","'Women' ","'Wales' ",230
2010 ,"'Academy' ","'18' ","'Men' ","'England' ",24775
2010 ,"'Academy' ","'18' ","'Men' ","'Scotland' ",10
2010 ,"'Academy' ","'18' ","'Men' ","'Wales' ",25
2010 ,"'Academy' ","'18' ","'Women' ","'England' ",30160
2010 ,"'Academy' ","'18' ","'Women' ","'Scotland' ",15
2010 ,"'Academy' ","'18' ","'Women' ","'Wales' ",35
2010 ,"'Academy' ","'19' ","'Men' ","'England' ",5675
2010 ,"'Academy' ","'19' ","'Men' ","'Scotland' ",5
2010 ,"'Academy' ","'19' ","'Women' ","'England' ",5750
2010 ,"'Academy' ","'19' ","'Women' ","'Scotland' ",10
2010 ,"'Academy' ","'19' ","'Women' ","'Wales' ",10
2010 ,"'Further education' ","'18' ","'Men' ","'England' ",7745
2010 ,"'Further education' ","'18' ","'Men' ","'Northern Ireland' ",300
2010 ,"'Further education' ","'18' ","'Men' ","'Scotland' ",65
2010 ,"'Further education' ","'18' ","'Men' ","'Wales' ",700
2010 ,"'Further education' ","'18' ","'Women' ","'England' ",9810
2010 ,"'Further education' ","'18' ","'Women' ","'Northern Ireland' ",260
2010 ,"'Further education' ","'18' ","'Women' ","'Scotland' ",190
2010 ,"'Further education' ","'18' ","'Women' ","'Wales' ",975
2010 ,"'Further education' ","'19' ","'Men' ","'England' ",6970
2010 ,"'Further education' ","'19' ","'Men' ","'Northern Ireland' ",280
2010 ,"'Further education' ","'19' ","'Men' ","'Scotland' ",405
2010 ,"'Further education' ","'19' ","'Men' ","'Wales' ",510
2010 ,"'Further education' ","'19' ","'Women' ","'England' ",7780
2010 ,"'Further education' ","'19' ","'Women' ","'Northern Ireland' ",290
2010 ,"'Further education' ","'19' ","'Women' ","'Scotland' ",695
2010 ,"'Further education' ","'19' ","'Women' ","'Wales' ",650
2010 ,"'Grammar' ","'18' ","'Men' ","'England' ",1575
2010 ,"'Grammar' ","'18' ","'Men' ","'Northern Ireland' ",2720
2010 ,"'Grammar' ","'18' ","'Women' ","'England' ",1735
2010 ,"'Grammar' ","'18' ","'Women' ","'Northern Ireland' ",3335
2010 ,"'Grammar' ","'19' ","'Men' ","'England' ",295
2010 ,"'Grammar' ","'19' ","'Men' ","'Northern Ireland' ",320
2010 ,"'Grammar' ","'19' ","'Women' ","'England' ",335
2010 ,"'Grammar' ","'19' ","'Women' ","'Northern Ireland' ",300
2010 ,"'Independent' ","'18' ","'Men' ","'England' ",10600
2010 ,"'Independent' ","'18' ","'Men' ","'Northern Ireland' ",30
2010 ,"'Independent' ","'18' ","'Men' ","'Scotland' ",860
2010 ,"'Independent' ","'18' ","'Men' ","'Wales' ",250
2010 ,"'Independent' ","'18' ","'Women' ","'England' ",10355
2010 ,"'Independent' ","'18' ","'Women' ","'Northern Ireland' ",55
2010 ,"'Independent' ","'18' ","'Women' ","'Scotland' ",940
2010 ,"'Independent' ","'18' ","'Women' ","'Wales' ",250
2010 ,"'Independent' ","'19' ","'Men' ","'England' ",3590
2010 ,"'Independent' ","'19' ","'Men' ","'Northern Ireland' ",10
2010 ,"'Independent' ","'19' ","'Men' ","'Scotland' ",270
2010 ,"'Independent' ","'19' ","'Men' ","'Wales' ",75
2010 ,"'Independent' ","'19' ","'Women' ","'England' ",3075
2010 ,"'Independent' ","'19' ","'Women' ","'Northern Ireland' ",5
2010 ,"'Independent' ","'19' ","'Women' ","'Scotland' ",260
2010 ,"'Independent' ","'19' ","'Women' ","'Wales' ",60
2010 ,"'Sixth form college' ","'18' ","'Men' ","'England' ",16990
2010 ,"'Sixth form college' ","'18' ","'Men' ","'Northern Ireland' ",10
2010 ,"'Sixth form college' ","'18' ","'Men' ","'Wales' ",195
2010 ,"'Sixth form college' ","'18' ","'Women' ","'England' ",23020
