"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (Region) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_005_01.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (Region),Number of Acceptances,
2006 ,"'B20 Bath Spa University' ","'Northern Ireland' ",5
2006 ,"'B26 Bell College' ","'Scotland' ",445
2006 ,"'B32 The University of Birmingham' ","'North East' ",25
2006 ,"'B32 The University of Birmingham' ","'Yorkshire and The Humber' ",165
2006 ,"'B32 The University of Birmingham' ","'North West' ",285
2006 ,"'B32 The University of Birmingham' ","'East Midlands' ",405
2006 ,"'B32 The University of Birmingham' ","'West Midlands' ",1625
2006 ,"'B32 The University of Birmingham' ","'East of England' ",400
2006 ,"'B32 The University of Birmingham' ","'London' ",505
2006 ,"'B32 The University of Birmingham' ","'South East' ",635
2006 ,"'B32 The University of Birmingham' ","'South West' ",440
2006 ,"'B32 The University of Birmingham' ","'Wales' ",130
2006 ,"'B32 The University of Birmingham' ","'Scotland' ",5
2006 ,"'B32 The University of Birmingham' ","'Northern Ireland' ",5
2006 ,"'B35 University College Birmingham' ","'North East' ",5
2006 ,"'B35 University College Birmingham' ","'Yorkshire and The Humber' ",15
2006 ,"'B35 University College Birmingham' ","'North West' ",10
2006 ,"'B35 University College Birmingham' ","'East Midlands' ",50
2006 ,"'B35 University College Birmingham' ","'West Midlands' ",545
2006 ,"'B35 University College Birmingham' ","'East of England' ",35
2006 ,"'B35 University College Birmingham' ","'London' ",40
2006 ,"'B35 University College Birmingham' ","'South East' ",45
2006 ,"'B35 University College Birmingham' ","'South West' ",30
2006 ,"'B35 University College Birmingham' ","'Wales' ",15
2006 ,"'B37 Bishop Burton College' ","'North East' ",5
2006 ,"'B37 Bishop Burton College' ","'Yorkshire and The Humber' ",130
2006 ,"'B37 Bishop Burton College' ","'North West' ",5
2006 ,"'B37 Bishop Burton College' ","'East Midlands' ",15
2006 ,"'B37 Bishop Burton College' ","'East of England' ",5
2006 ,"'B37 Bishop Burton College' ","'South East' ",5
2006 ,"'B37 Bishop Burton College' ","'South West' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'North East' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'Yorkshire and The Humber' ",65
2006 ,"'B38 Bishop Grosseteste University' ","'East Midlands' ",270
2006 ,"'B38 Bishop Grosseteste University' ","'West Midlands' ",5
2006 ,"'B38 Bishop Grosseteste University' ","'East of England' ",35
2006 ,"'B38 Bishop Grosseteste University' ","'South East' ",5
2006 ,"'B40 Blackburn College' ","'North West' ",400
2006 ,"'B40 Blackburn College' ","'East of England' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'Yorkshire and The Humber' ",10
2006 ,"'B41 Blackpool and The Fylde College' ","'North West' ",640
2006 ,"'B41 Blackpool and The Fylde College' ","'East Midlands' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'West Midlands' ",10
2006 ,"'B41 Blackpool and The Fylde College' ","'East of England' ",10
2006 ,"'B41 Blackpool and The Fylde College' ","'London' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'South East' ",10
2006 ,"'B41 Blackpool and The Fylde College' ","'Wales' ",5
2006 ,"'B41 Blackpool and The Fylde College' ","'Scotland' ",10
2006 ,"'B41 Blackpool and The Fylde College' ","'Northern Ireland' ",5
2006 ,"'B44 University of Bolton' ","'North East' ",5
2006 ,"'B44 University of Bolton' ","'Yorkshire and The Humber' ",50
2006 ,"'B44 University of Bolton' ","'North West' ",455
2006 ,"'B44 University of Bolton' ","'East Midlands' ",15
2006 ,"'B44 University of Bolton' ","'West Midlands' ",30
2006 ,"'B44 University of Bolton' ","'East of England' ",20
2006 ,"'B44 University of Bolton' ","'London' ",25
2006 ,"'B44 University of Bolton' ","'South East' ",15
2006 ,"'B44 University of Bolton' ","'South West' ",15
2006 ,"'B44 University of Bolton' ","'Wales' ",5
2006 ,"'B44 University of Bolton' ","'Scotland' ",5
2006 ,"'B44 University of Bolton' ","'Northern Ireland' ",15
2006 ,"'B50 Bournemouth University' ","'North East' ",10
2006 ,"'B50 Bournemouth University' ","'Yorkshire and The Humber' ",20
2006 ,"'B50 Bournemouth University' ","'North West' ",35
2006 ,"'B50 Bournemouth University' ","'East Midlands' ",75
2006 ,"'B50 Bournemouth University' ","'West Midlands' ",140
2006 ,"'B50 Bournemouth University' ","'East of England' ",240
2006 ,"'B50 Bournemouth University' ","'London' ",315
2006 ,"'B50 Bournemouth University' ","'South East' ",1105
2006 ,"'B50 Bournemouth University' ","'South West' ",1215
2006 ,"'B50 Bournemouth University' ","'Wales' ",30
2006 ,"'B50 Bournemouth University' ","'Scotland' ",10
2006 ,"'B50 Bournemouth University' ","'Northern Ireland' ",10
2006 ,"'B53 The Arts Institute at Bournemouth' ","'North East' ",5
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Yorkshire and The Humber' ",5
2006 ,"'B53 The Arts Institute at Bournemouth' ","'North West' ",15
2006 ,"'B53 The Arts Institute at Bournemouth' ","'East Midlands' ",20
2006 ,"'B53 The Arts Institute at Bournemouth' ","'West Midlands' ",20
2006 ,"'B53 The Arts Institute at Bournemouth' ","'East of England' ",30
2006 ,"'B53 The Arts Institute at Bournemouth' ","'London' ",55
2006 ,"'B53 The Arts Institute at Bournemouth' ","'South East' ",200
2006 ,"'B53 The Arts Institute at Bournemouth' ","'South West' ",225
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Wales' ",10
2006 ,"'B53 The Arts Institute at Bournemouth' ","'Scotland' ",5
2006 ,"'B56 The University of Bradford' ","'North East' ",35
2006 ,"'B56 The University of Bradford' ","'Yorkshire and The Humber' ",1305
2006 ,"'B56 The University of Bradford' ","'North West' ",265
2006 ,"'B56 The University of Bradford' ","'East Midlands' ",70
2006 ,"'B56 The University of Bradford' ","'West Midlands' ",55
2006 ,"'B56 The University of Bradford' ","'East of England' ",45
2006 ,"'B56 The University of Bradford' ","'London' ",80
2006 ,"'B56 The University of Bradford' ","'South East' ",35
2006 ,"'B56 The University of Bradford' ","'South West' ",30
2006 ,"'B56 The University of Bradford' ","'Wales' ",15
2006 ,"'B56 The University of Bradford' ","'Scotland' ",10
2006 ,"'B56 The University of Bradford' ","'Northern Ireland' ",10
2006 ,"'B56 The University of Bradford' ","'Unknown' ",5
2006 ,"'B60 Bradford College' ","'Yorkshire and The Humber' ",560
2006 ,"'B60 Bradford College' ","'North West' ",45
2006 ,"'B60 Bradford College' ","'East Midlands' ",5
2006 ,"'B60 Bradford College' ","'East of England' ",5
2006 ,"'B60 Bradford College' ","'London' ",5
2006 ,"'B60 Bradford College' ","'South East' ",5
2006 ,"'B60 Bradford College' ","'South West' ",5
2006 ,"'B60 Bradford College' ","'Wales' ",5
2006 ,"'B70 Bridgwater College' ","'South West' ",45
2006 ,"'B72 University of Brighton' ","'North East' ",10
2006 ,"'B72 University of Brighton' ","'Yorkshire and The Humber' ",30
2006 ,"'B72 University of Brighton' ","'North West' ",35
2006 ,"'B72 University of Brighton' ","'East Midlands' ",90
2006 ,"'B72 University of Brighton' ","'West Midlands' ",80
2006 ,"'B72 University of Brighton' ","'East of England' ",425
2006 ,"'B72 University of Brighton' ","'London' ",745
2006 ,"'B72 University of Brighton' ","'South East' ",1955
2006 ,"'B72 University of Brighton' ","'South West' ",225
2006 ,"'B72 University of Brighton' ","'Wales' ",40
2006 ,"'B72 University of Brighton' ","'Scotland' ",10
2006 ,"'B72 University of Brighton' ","'Northern Ireland' ",10
2006 ,"'B74 Brighton and Sussex Medical School' ","'North West' ",5
2006 ,"'B74 Brighton and Sussex Medical School' ","'East Midlands' ",5
2006 ,"'B74 Brighton and Sussex Medical School' ","'West Midlands' ",5
2006 ,"'B74 Brighton and Sussex Medical School' ","'East of England' ",10
2006 ,"'B74 Brighton and Sussex Medical School' ","'London' ",20
2006 ,"'B74 Brighton and Sussex Medical School' ","'South East' ",60
2006 ,"'B74 Brighton and Sussex Medical School' ","'South West' ",10
2006 ,"'B74 Brighton and Sussex Medical School' ","'Wales' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'Yorkshire and The Humber' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'East Midlands' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'West Midlands' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'East of England' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'London' ",5
2006 ,"'B77 Bristol, City of Bristol College' ","'South East' ",15
2006 ,"'B77 Bristol, City of Bristol College' ","'South West' ",185
2006 ,"'B77 Bristol, City of Bristol College' ","'Unknown' ",20
2006 ,"'B78 University of Bristol' ","'North East' ",35
2006 ,"'B78 University of Bristol' ","'Yorkshire and The Humber' ",105
2006 ,"'B78 University of Bristol' ","'North West' ",160
2006 ,"'B78 University of Bristol' ","'East Midlands' ",140
2006 ,"'B78 University of Bristol' ","'West Midlands' ",270
2006 ,"'B78 University of Bristol' ","'East of England' ",265
2006 ,"'B78 University of Bristol' ","'London' ",635
2006 ,"'B78 University of Bristol' ","'South East' ",830
2006 ,"'B78 University of Bristol' ","'South West' ",520
2006 ,"'B78 University of Bristol' ","'Wales' ",170
2006 ,"'B78 University of Bristol' ","'Scotland' ",35
2006 ,"'B78 University of Bristol' ","'Northern Ireland' ",25
2006 ,"'B79 Bristol Filton College' ","'South West' ",25
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'North East' ",20
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Yorkshire and The Humber' ",60
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'North West' ",115
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'East Midlands' ",105
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'West Midlands' ",375
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'East of England' ",225
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'London' ",345
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'South East' ",895
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'South West' ",2610
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Wales' ",385
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Scotland' ",15
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Northern Ireland' ",30
2006 ,"'B80 Bristol, University of the West of England (UWE)' ","'Unknown' ",10
2006 ,"'B81 British College of Osteopathic Medicine' ","'East of England' ",5
2006 ,"'B81 British College of Osteopathic Medicine' ","'London' ",30
2006 ,"'B81 British College of Osteopathic Medicine' ","'South East' ",10
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'Yorkshire and The Humber' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'North West' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'East Midlands' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'East of England' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'London' ",10
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'South East' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'South West' ",5
2006 ,"'B82 University of London Institute in Paris (University of London)' ","'Wales' ",5
2006 ,"'B84 Brunel University London' ","'North East' ",5
2006 ,"'B84 Brunel University London' ","'Yorkshire and The Humber' ",25
2006 ,"'B84 Brunel University London' ","'North West' ",30
2006 ,"'B84 Brunel University London' ","'East Midlands' ",45
2006 ,"'B84 Brunel University London' ","'West Midlands' ",60
2006 ,"'B84 Brunel University London' ","'East of England' ",250
2006 ,"'B84 Brunel University London' ","'London' ",2010
2006 ,"'B84 Brunel University London' ","'South East' ",510
2006 ,"'B84 Brunel University London' ","'South West' ",100
2006 ,"'B84 Brunel University London' ","'Wales' ",20
2006 ,"'B84 Brunel University London' ","'Scotland' ",5
2006 ,"'B84 Brunel University London' ","'Northern Ireland' ",5
2006 ,"'B84 Brunel University London' ","'Unknown' ",10
2006 ,"'B87 British School of Osteopathy' ","'Yorkshire and The Humber' ",5
2006 ,"'B87 British School of Osteopathy' ","'East Midlands' ",5
2006 ,"'B87 British School of Osteopathy' ","'West Midlands' ",5
2006 ,"'B87 British School of Osteopathy' ","'East of England' ",10
2006 ,"'B87 British School of Osteopathy' ","'London' ",35
2006 ,"'B87 British School of Osteopathy' ","'South East' ",20
2006 ,"'B87 British School of Osteopathy' ","'South West' ",10
2006 ,"'B87 British School of Osteopathy' ","'Scotland' ",5
2006 ,"'B88 Brockenhurst College' ","'South East' ",5
2006 ,"'B88 Brockenhurst College' ","'South West' ",5
2006 ,"'B90 The University of Buckingham' ","'West Midlands' ",5
2006 ,"'B90 The University of Buckingham' ","'London' ",5
2006 ,"'B90 The University of Buckingham' ","'South East' ",10
2006 ,"'B94 Buckinghamshire New University' ","'North East' ",10
2006 ,"'B94 Buckinghamshire New University' ","'Yorkshire and The Humber' ",30
2006 ,"'B94 Buckinghamshire New University' ","'North West' ",40
2006 ,"'B94 Buckinghamshire New University' ","'East Midlands' ",60
2006 ,"'B94 Buckinghamshire New University' ","'West Midlands' ",35
2006 ,"'B94 Buckinghamshire New University' ","'East of England' ",140
2006 ,"'B94 Buckinghamshire New University' ","'London' ",260
2006 ,"'B94 Buckinghamshire New University' ","'South East' ",455
2006 ,"'B94 Buckinghamshire New University' ","'South West' ",95
2006 ,"'B94 Buckinghamshire New University' ","'Wales' ",15
2006 ,"'B94 Buckinghamshire New University' ","'Scotland' ",10
2006 ,"'B94 Buckinghamshire New University' ","'Northern Ireland' ",15
2006 ,"'C05 University of Cambridge' ","'North East' ",70
2006 ,"'C05 University of Cambridge' ","'Yorkshire and The Humber' ",195
2006 ,"'C05 University of Cambridge' ","'North West' ",240
2006 ,"'C05 University of Cambridge' ","'East Midlands' ",145
2006 ,"'C05 University of Cambridge' ","'West Midlands' ",180
2006 ,"'C05 University of Cambridge' ","'East of England' ",365
2006 ,"'C05 University of Cambridge' ","'London' ",580
2006 ,"'C05 University of Cambridge' ","'South East' ",590
2006 ,"'C05 University of Cambridge' ","'South West' ",220
2006 ,"'C05 University of Cambridge' ","'Wales' ",70
2006 ,"'C05 University of Cambridge' ","'Scotland' ",95
2006 ,"'C05 University of Cambridge' ","'Northern Ireland' ",60
2006 ,"'C10 Canterbury Christ Church University' ","'Yorkshire and The Humber' ",15
2006 ,"'C10 Canterbury Christ Church University' ","'North West' ",5
2006 ,"'C10 Canterbury Christ Church University' ","'East Midlands' ",20
2006 ,"'C10 Canterbury Christ Church University' ","'West Midlands' ",15
2006 ,"'C10 Canterbury Christ Church University' ","'East of England' ",215
