"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Age Band , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_018_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Age Band,Number of Applications,
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ",1565
2007 ,"'A1 - Pre-clinical Medicine' ","'18' ",35635
2007 ,"'A1 - Pre-clinical Medicine' ","'19' ",9985
2007 ,"'A1 - Pre-clinical Medicine' ","'20' ",2725
2007 ,"'A1 - Pre-clinical Medicine' ","'21 and over' ",22370
2007 ,"'A2 - Pre-clinical Dentistry' ","'17 and under' ",175
2007 ,"'A2 - Pre-clinical Dentistry' ","'18' ",6115
2007 ,"'A2 - Pre-clinical Dentistry' ","'19' ",1730
2007 ,"'A2 - Pre-clinical Dentistry' ","'20' ",415
2007 ,"'A2 - Pre-clinical Dentistry' ","'21 and over' ",2725
2007 ,"'A9 - Others in Medicine and Dentistry' ","'18' ",25
2007 ,"'A9 - Others in Medicine and Dentistry' ","'19' ",15
2007 ,"'A9 - Others in Medicine and Dentistry' ","'20' ",5
2007 ,"'A9 - Others in Medicine and Dentistry' ","'21 and over' ",25
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'17 and under' ",425
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'18' ",15435
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'19' ",4540
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'20' ",1485
2007 ,"'B1 - Anatomy,Physiology and Pathology' ","'21 and over' ",6885
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'17 and under' ",850
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'18' ",13435
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'19' ",6600
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'20' ",2035
2007 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'21 and over' ",6055
2007 ,"'B3 - Complementary Medicine' ","'17 and under' ",15
2007 ,"'B3 - Complementary Medicine' ","'18' ",800
2007 ,"'B3 - Complementary Medicine' ","'19' ",435
2007 ,"'B3 - Complementary Medicine' ","'20' ",230
2007 ,"'B3 - Complementary Medicine' ","'21 and over' ",1380
2007 ,"'B4 - Nutrition' ","'17 and under' ",200
2007 ,"'B4 - Nutrition' ","'18' ",2795
2007 ,"'B4 - Nutrition' ","'19' ",900
2007 ,"'B4 - Nutrition' ","'20' ",425
2007 ,"'B4 - Nutrition' ","'21 and over' ",1995
2007 ,"'B5 - Ophthalmics' ","'17 and under' ",80
2007 ,"'B5 - Ophthalmics' ","'18' ",2775
2007 ,"'B5 - Ophthalmics' ","'19' ",1045
2007 ,"'B5 - Ophthalmics' ","'20' ",265
2007 ,"'B5 - Ophthalmics' ","'21 and over' ",1265
2007 ,"'B6 - Aural and Oral Sciences' ","'17 and under' ",75
2007 ,"'B6 - Aural and Oral Sciences' ","'18' ",4240
2007 ,"'B6 - Aural and Oral Sciences' ","'19' ",1065
2007 ,"'B6 - Aural and Oral Sciences' ","'20' ",330
2007 ,"'B6 - Aural and Oral Sciences' ","'21 and over' ",1645
2007 ,"'B7 - Nursing' ","'17 and under' ",270
2007 ,"'B7 - Nursing' ","'18' ",24555
2007 ,"'B7 - Nursing' ","'19' ",8585
2007 ,"'B7 - Nursing' ","'20' ",4125
2007 ,"'B7 - Nursing' ","'21 and over' ",20895
2007 ,"'B8 - Medical Technology' ","'17 and under' ",105
2007 ,"'B8 - Medical Technology' ","'18' ",4225
2007 ,"'B8 - Medical Technology' ","'19' ",1505
2007 ,"'B8 - Medical Technology' ","'20' ",655
2007 ,"'B8 - Medical Technology' ","'21 and over' ",3890
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'17 and under' ",520
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'18' ",18535
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'19' ",6765
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'20' ",2595
2007 ,"'B9 - Others in Subjects allied to Medicine' ","'21 and over' ",8920
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'17 and under' ",15
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'18' ",620
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'19' ",285
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'20' ",135
2007 ,"'BB - Combinations within Subjects allied to Medicine' ","'21 and over' ",260
2007 ,"'C0 - Biological Sciences: any area of study' ","'17 and under' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'18' ",65
2007 ,"'C0 - Biological Sciences: any area of study' ","'19' ",15
2007 ,"'C0 - Biological Sciences: any area of study' ","'20' ",5
2007 ,"'C0 - Biological Sciences: any area of study' ","'21 and over' ",5
2007 ,"'C1 - Biology' ","'17 and under' ",535
2007 ,"'C1 - Biology' ","'18' ",17600
2007 ,"'C1 - Biology' ","'19' ",3865
2007 ,"'C1 - Biology' ","'20' ",1040
2007 ,"'C1 - Biology' ","'21 and over' ",2060
2007 ,"'C2 - Botany' ","'18' ",65
2007 ,"'C2 - Botany' ","'19' ",25
2007 ,"'C2 - Botany' ","'20' ",10
2007 ,"'C2 - Botany' ","'21 and over' ",30
2007 ,"'C3 - Zoology' ","'17 and under' ",95
2007 ,"'C3 - Zoology' ","'18' ",4470
2007 ,"'C3 - Zoology' ","'19' ",1115
2007 ,"'C3 - Zoology' ","'20' ",295
2007 ,"'C3 - Zoology' ","'21 and over' ",620
2007 ,"'C4 - Genetics' ","'17 and under' ",140
2007 ,"'C4 - Genetics' ","'18' ",1515
2007 ,"'C4 - Genetics' ","'19' ",435
2007 ,"'C4 - Genetics' ","'20' ",125
2007 ,"'C4 - Genetics' ","'21 and over' ",240
2007 ,"'C5 - Microbiology' ","'17 and under' ",80
2007 ,"'C5 - Microbiology' ","'18' ",1365
2007 ,"'C5 - Microbiology' ","'19' ",355
2007 ,"'C5 - Microbiology' ","'20' ",135
2007 ,"'C5 - Microbiology' ","'21 and over' ",385
2007 ,"'C6 - Sport and Exercise Science' ","'17 and under' ",230
2007 ,"'C6 - Sport and Exercise Science' ","'18' ",33070
2007 ,"'C6 - Sport and Exercise Science' ","'19' ",9510
2007 ,"'C6 - Sport and Exercise Science' ","'20' ",3125
2007 ,"'C6 - Sport and Exercise Science' ","'21 and over' ",3970
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'17 and under' ",420
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'18' ",9015
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'19' ",2390
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'20' ",665
2007 ,"'C7 - Molecular Biology,Biophysics & Biochem' ","'21 and over' ",990
2007 ,"'C8 - Psychology' ","'17 and under' ",955
2007 ,"'C8 - Psychology' ","'18' ",52505
2007 ,"'C8 - Psychology' ","'19' ",12675
2007 ,"'C8 - Psychology' ","'20' ",3960
2007 ,"'C8 - Psychology' ","'21 and over' ",10190
2007 ,"'C9 - Others in Biological Sciences' ","'17 and under' ",70
2007 ,"'C9 - Others in Biological Sciences' ","'18' ",1700
2007 ,"'C9 - Others in Biological Sciences' ","'19' ",625
2007 ,"'C9 - Others in Biological Sciences' ","'20' ",190
2007 ,"'C9 - Others in Biological Sciences' ","'21 and over' ",415
2007 ,"'CC - Combinations within Biological Sciences' ","'17 and under' ",75
2007 ,"'CC - Combinations within Biological Sciences' ","'18' ",2840
2007 ,"'CC - Combinations within Biological Sciences' ","'19' ",685
2007 ,"'CC - Combinations within Biological Sciences' ","'20' ",225
2007 ,"'CC - Combinations within Biological Sciences' ","'21 and over' ",370
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'17 and under' ",140
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'18' ",3975
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'19' ",705
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'20' ",165
2007 ,"'D1 - Pre-clinical Veterinary Medicine' ","'21 and over' ",1445
2007 ,"'D3 - Animal Science' ","'17 and under' ",50
2007 ,"'D3 - Animal Science' ","'18' ",3525
2007 ,"'D3 - Animal Science' ","'19' ",1100
2007 ,"'D3 - Animal Science' ","'20' ",455
2007 ,"'D3 - Animal Science' ","'21 and over' ",810
2007 ,"'D4 - Agriculture' ","'17 and under' ",85
2007 ,"'D4 - Agriculture' ","'18' ",2320
2007 ,"'D4 - Agriculture' ","'19' ",710
2007 ,"'D4 - Agriculture' ","'20' ",300
2007 ,"'D4 - Agriculture' ","'21 and over' ",745
2007 ,"'D5 - Forestry & arboriculture' ","'18' ",90
2007 ,"'D5 - Forestry & arboriculture' ","'19' ",25
2007 ,"'D5 - Forestry & arboriculture' ","'20' ",15
2007 ,"'D5 - Forestry & arboriculture' ","'21 and over' ",100
2007 ,"'D6 - Food and Beverage studies' ","'17 and under' ",35
2007 ,"'D6 - Food and Beverage studies' ","'18' ",585
2007 ,"'D6 - Food and Beverage studies' ","'19' ",140
2007 ,"'D6 - Food and Beverage studies' ","'20' ",75
2007 ,"'D6 - Food and Beverage studies' ","'21 and over' ",215
2007 ,"'D7 - Agricultural Sciences' ","'18' ",80
2007 ,"'D7 - Agricultural Sciences' ","'19' ",30
2007 ,"'D7 - Agricultural Sciences' ","'20' ",5
2007 ,"'D7 - Agricultural Sciences' ","'21 and over' ",30
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'18' ",130
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'19' ",35
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'20' ",5
2007 ,"'D9 - Others in Vet Sci,Ag & related subjects' ","'21 and over' ",10
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'17 and under' ",5
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'18' ",140
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'19' ",65
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'20' ",25
2007 ,"'DD - Combinations within Vet Sci,Ag & related subjects' ","'21 and over' ",55
2007 ,"'F0 - Physical Sciences: any area of study' ","'17 and under' ",20
2007 ,"'F0 - Physical Sciences: any area of study' ","'18' ",130
2007 ,"'F0 - Physical Sciences: any area of study' ","'19' ",50
2007 ,"'F0 - Physical Sciences: any area of study' ","'20' ",25
2007 ,"'F0 - Physical Sciences: any area of study' ","'21 and over' ",60
2007 ,"'F1 - Chemistry' ","'17 and under' ",385
2007 ,"'F1 - Chemistry' ","'18' ",15540
2007 ,"'F1 - Chemistry' ","'19' ",2845
2007 ,"'F1 - Chemistry' ","'20' ",660
2007 ,"'F1 - Chemistry' ","'21 and over' ",1035
2007 ,"'F2 - Materials Science' ","'18' ",30
2007 ,"'F2 - Materials Science' ","'19' ",5
2007 ,"'F2 - Materials Science' ","'20' ",5
2007 ,"'F3 - Physics' ","'17 and under' ",425
2007 ,"'F3 - Physics' ","'18' ",14205
2007 ,"'F3 - Physics' ","'19' ",2175
2007 ,"'F3 - Physics' ","'20' ",490
2007 ,"'F3 - Physics' ","'21 and over' ",930
2007 ,"'F4 - Forensic and Archaeological Science' ","'17 and under' ",95
2007 ,"'F4 - Forensic and Archaeological Science' ","'18' ",5000
2007 ,"'F4 - Forensic and Archaeological Science' ","'19' ",1475
2007 ,"'F4 - Forensic and Archaeological Science' ","'20' ",500
2007 ,"'F4 - Forensic and Archaeological Science' ","'21 and over' ",1185
2007 ,"'F5 - Astronomy' ","'17 and under' ",20
2007 ,"'F5 - Astronomy' ","'18' ",475
2007 ,"'F5 - Astronomy' ","'19' ",120
2007 ,"'F5 - Astronomy' ","'20' ",25
2007 ,"'F5 - Astronomy' ","'21 and over' ",60
2007 ,"'F6 - Geology' ","'17 and under' ",80
2007 ,"'F6 - Geology' ","'18' ",5075
2007 ,"'F6 - Geology' ","'19' ",915
2007 ,"'F6 - Geology' ","'20' ",230
2007 ,"'F6 - Geology' ","'21 and over' ",480
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'17 and under' ",105
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'18' ",3890
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'19' ",965
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'20' ",315
2007 ,"'F7 - Science of aquatic & terrestrial environments' ","'21 and over' ",880
2007 ,"'F8 - Physical geographical sciences' ","'17 and under' ",115
2007 ,"'F8 - Physical geographical sciences' ","'18' ",14790
2007 ,"'F8 - Physical geographical sciences' ","'19' ",2095
2007 ,"'F8 - Physical geographical sciences' ","'20' ",400
