"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Accepted through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_003_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2006 ,"'B94 Buckinghamshire New University' ","'UK' ",1070
2006 ,"'B94 Buckinghamshire New University' ","'EU (excluding UK)' ",30
2006 ,"'B94 Buckinghamshire New University' ","'Not EU' ",25
2006 ,"'C05 University of Cambridge' ","'UK' ",2795
2006 ,"'C05 University of Cambridge' ","'EU (excluding UK)' ",170
2006 ,"'C05 University of Cambridge' ","'Not EU' ",345
2006 ,"'C10 Canterbury Christ Church University' ","'UK' ",1680
2006 ,"'C10 Canterbury Christ Church University' ","'EU (excluding UK)' ",30
2006 ,"'C10 Canterbury Christ Church University' ","'Not EU' ",15
2006 ,"'C13 Capel Manor College' ","'UK' ",5
2006 ,"'C15 Cardiff University' ","'UK' ",4110
2006 ,"'C15 Cardiff University' ","'EU (excluding UK)' ",115
2006 ,"'C15 Cardiff University' ","'Not EU' ",355
2006 ,"'C20 Cardiff Metropolitan University' ","'UK' ",1830
2006 ,"'C20 Cardiff Metropolitan University' ","'EU (excluding UK)' ",50
2006 ,"'C20 Cardiff Metropolitan University' ","'Not EU' ",30
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'UK' ",80
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'EU (excluding UK)' ",20
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'UK' ",2400
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'EU (excluding UK)' ",50
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Not EU' ",70
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'UK' ",3555
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'EU (excluding UK)' ",125
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Not EU' ",60
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'UK' ",165
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'EU (excluding UK)' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Not EU' ",10
2006 ,"'C55 University of Chester' ","'UK' ",2105
2006 ,"'C55 University of Chester' ","'EU (excluding UK)' ",30
2006 ,"'C55 University of Chester' ","'Not EU' ",45
2006 ,"'C56 Chesterfield College' ","'UK' ",50
2006 ,"'C57 Chichester College' ","'UK' ",40
2006 ,"'C58 University of Chichester' ","'UK' ",910
2006 ,"'C58 University of Chichester' ","'EU (excluding UK)' ",10
2006 ,"'C58 University of Chichester' ","'Not EU' ",10
2006 ,"'C60 City, University of London' ","'UK' ",1245
2006 ,"'C60 City, University of London' ","'EU (excluding UK)' ",180
2006 ,"'C60 City, University of London' ","'Not EU' ",340
2006 ,"'C62 City College, Birmingham' ","'UK' ",5
2006 ,"'C65 City and Islington College' ","'UK' ",15
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'UK' ",175
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'EU (excluding UK)' ",5
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Not EU' ",5
2006 ,"'C69 City of Sunderland College' ","'UK' ",30
2006 ,"'C71 Cleveland College of Art and Design' ","'UK' ",155
2006 ,"'C72 Cliff College' ","'UK' ",15
2006 ,"'C72 Cliff College' ","'Not EU' ",5
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'UK' ",210
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'Not EU' ",5
2006 ,"'C78 Cornwall College' ","'UK' ",205
2006 ,"'C78 Cornwall College' ","'EU (excluding UK)' ",5
2006 ,"'C78 Cornwall College' ","'Not EU' ",5
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'UK' ",50
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'EU (excluding UK)' ",10
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'Not EU' ",5
2006 ,"'C85 Coventry University' ","'UK' ",2365
2006 ,"'C85 Coventry University' ","'EU (excluding UK)' ",370
2006 ,"'C85 Coventry University' ","'Not EU' ",150
2006 ,"'C88 Craven College' ","'UK' ",5
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'UK' ",45
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'Not EU' ",5
2006 ,"'C95 Cumbria Institute of the Arts' ","'UK' ",285
2006 ,"'C95 Cumbria Institute of the Arts' ","'EU (excluding UK)' ",20
2006 ,"'C95 Cumbria Institute of the Arts' ","'Not EU' ",5
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'UK' ",150
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'EU (excluding UK)' ",10
2006 ,"'D22 Dearne Valley College' ","'UK' ",25
2006 ,"'D26 De Montfort University' ","'UK' ",3340
2006 ,"'D26 De Montfort University' ","'EU (excluding UK)' ",60
2006 ,"'D26 De Montfort University' ","'Not EU' ",170
2006 ,"'D39 University of Derby' ","'UK' ",1785
2006 ,"'D39 University of Derby' ","'EU (excluding UK)' ",40
2006 ,"'D39 University of Derby' ","'Not EU' ",55
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'UK' ",45
2006 ,"'D52 Doncaster College' ","'UK' ",195
2006 ,"'D52 Doncaster College' ","'Not EU' ",5
2006 ,"'D55 Duchy College' ","'UK' ",80
2006 ,"'D55 Duchy College' ","'EU (excluding UK)' ",5
2006 ,"'D58 Dudley College of Technology' ","'UK' ",10
2006 ,"'D65 University of Dundee' ","'UK' ",1635
2006 ,"'D65 University of Dundee' ","'EU (excluding UK)' ",130
2006 ,"'D65 University of Dundee' ","'Not EU' ",30
2006 ,"'D86 Durham University' ","'UK' ",3065
2006 ,"'D86 Durham University' ","'EU (excluding UK)' ",85
2006 ,"'D86 Durham University' ","'Not EU' ",270
2006 ,"'E10 Ealing, Hammersmith and West London College' ","'UK' ",5
2006 ,"'E14 University of East Anglia (UEA)' ","'UK' ",2030
2006 ,"'E14 University of East Anglia (UEA)' ","'EU (excluding UK)' ",100
2006 ,"'E14 University of East Anglia (UEA)' ","'Not EU' ",125
2006 ,"'E28 University of East London (UEL)' ","'UK' ",1570
2006 ,"'E28 University of East London (UEL)' ","'EU (excluding UK)' ",135
2006 ,"'E28 University of East London (UEL)' ","'Not EU' ",165
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'UK' ",20
2006 ,"'E42 Edge Hill University' ","'UK' ",1360
2006 ,"'E42 Edge Hill University' ","'EU (excluding UK)' ",5
2006 ,"'E42 Edge Hill University' ","'Not EU' ",10
2006 ,"'E56 The University of Edinburgh' ","'UK' ",3400
2006 ,"'E56 The University of Edinburgh' ","'EU (excluding UK)' ",245
2006 ,"'E56 The University of Edinburgh' ","'Not EU' ",390
2006 ,"'E58 Edinburgh College of Art' ","'UK' ",270
2006 ,"'E58 Edinburgh College of Art' ","'EU (excluding UK)' ",25
2006 ,"'E58 Edinburgh College of Art' ","'Not EU' ",20
2006 ,"'E70 The University of Essex' ","'UK' ",1220
2006 ,"'E70 The University of Essex' ","'EU (excluding UK)' ",150
2006 ,"'E70 The University of Essex' ","'Not EU' ",235
2006 ,"'E77 European Business School, London' ","'UK' ",10
2006 ,"'E77 European Business School, London' ","'EU (excluding UK)' ",25
2006 ,"'E77 European Business School, London' ","'Not EU' ",20
2006 ,"'E80 European School of Osteopathy' ","'UK' ",35
2006 ,"'E80 European School of Osteopathy' ","'EU (excluding UK)' ",5
2006 ,"'E80 European School of Osteopathy' ","'Not EU' ",10
2006 ,"'E81 Exeter College' ","'UK' ",45
2006 ,"'E81 Exeter College' ","'Not EU' ",5
2006 ,"'E84 University of Exeter' ","'UK' ",2845
2006 ,"'E84 University of Exeter' ","'EU (excluding UK)' ",85
2006 ,"'E84 University of Exeter' ","'Not EU' ",160
2006 ,"'F33 Falmouth University' ","'UK' ",660
2006 ,"'F33 Falmouth University' ","'EU (excluding UK)' ",5
2006 ,"'F33 Falmouth University' ","'Not EU' ",15
2006 ,"'F66 University Centre Farnborough' ","'UK' ",110
2006 ,"'F66 University Centre Farnborough' ","'Not EU' ",10
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'UK' ",2245
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'EU (excluding UK)' ",40
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Not EU' ",60
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'UK' ",60
2006 ,"'G28 University of Glasgow' ","'UK' ",3490
2006 ,"'G28 University of Glasgow' ","'EU (excluding UK)' ",245
2006 ,"'G28 University of Glasgow' ","'Not EU' ",135
2006 ,"'G42 Glasgow Caledonian University' ","'UK' ",2595
2006 ,"'G42 Glasgow Caledonian University' ","'EU (excluding UK)' ",35
2006 ,"'G42 Glasgow Caledonian University' ","'Not EU' ",55
2006 ,"'G43 The Glasgow School of Art' ","'UK' ",265
2006 ,"'G43 The Glasgow School of Art' ","'EU (excluding UK)' ",35
2006 ,"'G43 The Glasgow School of Art' ","'Not EU' ",25
2006 ,"'G45 Gloucestershire College' ","'UK' ",10
2006 ,"'G50 The University of Gloucestershire' ","'UK' ",1590
2006 ,"'G50 The University of Gloucestershire' ","'EU (excluding UK)' ",30
2006 ,"'G50 The University of Gloucestershire' ","'Not EU' ",70
2006 ,"'G56 Goldsmiths, University of London' ","'UK' ",935
2006 ,"'G56 Goldsmiths, University of London' ","'EU (excluding UK)' ",105
2006 ,"'G56 Goldsmiths, University of London' ","'Not EU' ",85
2006 ,"'G64 Great Yarmouth College' ","'UK' ",30
2006 ,"'G70 University of Greenwich' ","'UK' ",1910
2006 ,"'G70 University of Greenwich' ","'EU (excluding UK)' ",145
2006 ,"'G70 University of Greenwich' ","'Not EU' ",160
2006 ,"'G74 GSM London (formerly Greenwich School of Management)' ","'Not EU' ",5
2006 ,"'G80 University Centre Grimsby' ","'UK' ",90
2006 ,"'G90 Guildford College' ","'UK' ",115
2006 ,"'G90 Guildford College' ","'Not EU' ",5
2006 ,"'H06 Halton College' ","'UK' ",15
2006 ,"'H12 Harper Adams University' ","'UK' ",375
2006 ,"'H12 Harper Adams University' ","'EU (excluding UK)' ",15
2006 ,"'H12 Harper Adams University' ","'Not EU' ",5
2006 ,"'H14 Havering College of Further and Higher Education' ","'UK' ",15
2006 ,"'H18 Hereford College of Arts' ","'UK' ",115
2006 ,"'H18 Hereford College of Arts' ","'EU (excluding UK)' ",5
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'UK' ",1075
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'EU (excluding UK)' ",345
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Not EU' ",135
2006 ,"'H36 University of Hertfordshire' ","'UK' ",3560
2006 ,"'H36 University of Hertfordshire' ","'EU (excluding UK)' ",90
2006 ,"'H36 University of Hertfordshire' ","'Not EU' ",155
2006 ,"'H37 Hertford Regional College' ","'UK' ",30
2006 ,"'H39 Highbury College' ","'UK' ",15
2006 ,"'H39 Highbury College' ","'Not EU' ",5
2006 ,"'H48 Heythrop College (University of London)' ","'UK' ",110
2006 ,"'H48 Heythrop College (University of London)' ","'EU (excluding UK)' ",5
2006 ,"'H48 Heythrop College (University of London)' ","'Not EU' ",5
2006 ,"'H49 University of the Highlands and Islands' ","'UK' ",180
2006 ,"'H49 University of the Highlands and Islands' ","'EU (excluding UK)' ",5
2006 ,"'H49 University of the Highlands and Islands' ","'Not EU' ",5
2006 ,"'H50 Holborn College' ","'Not EU' ",20
2006 ,"'H54 Hopwood Hall College' ","'UK' ",25
2006 ,"'H60 The University of Huddersfield' ","'UK' ",2805
2006 ,"'H60 The University of Huddersfield' ","'EU (excluding UK)' ",40
2006 ,"'H60 The University of Huddersfield' ","'Not EU' ",45
2006 ,"'H72 The University of Hull' ","'UK' ",2400
2006 ,"'H72 The University of Hull' ","'EU (excluding UK)' ",70
2006 ,"'H72 The University of Hull' ","'Not EU' ",245
2006 ,"'H73 Hull College' ","'UK' ",270
2006 ,"'H73 Hull College' ","'EU (excluding UK)' ",5
2006 ,"'H75 Hull York Medical School' ","'UK' ",120
2006 ,"'H75 Hull York Medical School' ","'EU (excluding UK)' ",5
2006 ,"'H75 Hull York Medical School' ","'Not EU' ",15
2006 ,"'I50 Imperial College London' ","'UK' ",1285
2006 ,"'I50 Imperial College London' ","'EU (excluding UK)' ",225
2006 ,"'I50 Imperial College London' ","'Not EU' ",635
2006 ,"'K12 Keele University' ","'UK' ",1400
2006 ,"'K12 Keele University' ","'EU (excluding UK)' ",30
2006 ,"'K12 Keele University' ","'Not EU' ",65
2006 ,"'K24 The University of Kent' ","'UK' ",2665
2006 ,"'K24 The University of Kent' ","'EU (excluding UK)' ",225
2006 ,"'K24 The University of Kent' ","'Not EU' ",290
2006 ,"'K36 Kent Institute of Art and Design' ","'UK' ",575
2006 ,"'K36 Kent Institute of Art and Design' ","'EU (excluding UK)' ",70
2006 ,"'K36 Kent Institute of Art and Design' ","'Not EU' ",30
2006 ,"'K60 King's College London (University of London)' ","'UK' ",2380
2006 ,"'K60 King's College London (University of London)' ","'EU (excluding UK)' ",200
2006 ,"'K60 King's College London (University of London)' ","'Not EU' ",380
2006 ,"'K84 Kingston University' ","'UK' ",3935
2006 ,"'K84 Kingston University' ","'EU (excluding UK)' ",350
2006 ,"'K84 Kingston University' ","'Not EU' ",455
2006 ,"'L07 The University of Wales, Lampeter' ","'UK' ",195
2006 ,"'L07 The University of Wales, Lampeter' ","'EU (excluding UK)' ",5
2006 ,"'L07 The University of Wales, Lampeter' ","'Not EU' ",5
2006 ,"'L14 Lancaster University' ","'UK' ",2180
2006 ,"'L14 Lancaster University' ","'EU (excluding UK)' ",140
2006 ,"'L14 Lancaster University' ","'Not EU' ",235
2006 ,"'L21 Leeds City College' ","'UK' ",10
2006 ,"'L23 University of Leeds' ","'UK' ",5595
2006 ,"'L23 University of Leeds' ","'EU (excluding UK)' ",160
2006 ,"'L23 University of Leeds' ","'Not EU' ",275
2006 ,"'L24 Leeds Trinity University' ","'UK' ",635
2006 ,"'L24 Leeds Trinity University' ","'EU (excluding UK)' ",5
2006 ,"'L24 Leeds Trinity University' ","'Not EU' ",5
2006 ,"'L27 Leeds Beckett University' ","'UK' ",5050
2006 ,"'L27 Leeds Beckett University' ","'EU (excluding UK)' ",125
2006 ,"'L27 Leeds Beckett University' ","'Not EU' ",115
2006 ,"'L28 Leeds College of Art' ","'UK' ",365
2006 ,"'L28 Leeds College of Art' ","'Not EU' ",10
2006 ,"'L30 Leeds College of Music (UCAS)' ","'UK' ",65
2006 ,"'L34 University of Leicester' ","'UK' ",1705
2006 ,"'L34 University of Leicester' ","'EU (excluding UK)' ",120
2006 ,"'L34 University of Leicester' ","'Not EU' ",205
2006 ,"'L36 Leicester College' ","'UK' ",40
2006 ,"'L39 University of Lincoln' ","'UK' ",2655
2006 ,"'L39 University of Lincoln' ","'EU (excluding UK)' ",205
2006 ,"'L39 University of Lincoln' ","'Not EU' ",70
2006 ,"'L41 The University of Liverpool' ","'UK' ",3340
2006 ,"'L41 The University of Liverpool' ","'EU (excluding UK)' ",125
2006 ,"'L41 The University of Liverpool' ","'Not EU' ",255
2006 ,"'L43 The City of Liverpool College' ","'UK' ",55
2006 ,"'L46 Liverpool Hope University' ","'UK' ",1300
2006 ,"'L46 Liverpool Hope University' ","'EU (excluding UK)' ",55
2006 ,"'L46 Liverpool Hope University' ","'Not EU' ",10
2006 ,"'L48 The Liverpool Institute for Performing Arts' ","'UK' ",155
2006 ,"'L48 The Liverpool Institute for Performing Arts' ","'EU (excluding UK)' ",10
2006 ,"'L48 The Liverpool Institute for Performing Arts' ","'Not EU' ",25
2006 ,"'L51 Liverpool John Moores University (LJMU)' ","'UK' ",3980
