"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Entry Year"
"Coverage:   Direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_019_01.pdf"
 
Entry Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2007 ,"'B94 Buckinghamshire New University' ","'UK' ",985
2007 ,"'B94 Buckinghamshire New University' ","'EU (excluding UK)' ",40
2007 ,"'B94 Buckinghamshire New University' ","'Not EU' ",25
2007 ,"'C05 University of Cambridge' ","'UK' ",2830
2007 ,"'C05 University of Cambridge' ","'EU (excluding UK)' ",200
2007 ,"'C05 University of Cambridge' ","'Not EU' ",370
2007 ,"'C10 Canterbury Christ Church University' ","'UK' ",2130
2007 ,"'C10 Canterbury Christ Church University' ","'EU (excluding UK)' ",40
2007 ,"'C10 Canterbury Christ Church University' ","'Not EU' ",20
2007 ,"'C13 Capel Manor College' ","'UK' ",10
2007 ,"'C15 Cardiff University' ","'UK' ",4515
2007 ,"'C15 Cardiff University' ","'EU (excluding UK)' ",145
2007 ,"'C15 Cardiff University' ","'Not EU' ",495
2007 ,"'C20 Cardiff Metropolitan University' ","'UK' ",2390
2007 ,"'C20 Cardiff Metropolitan University' ","'EU (excluding UK)' ",55
2007 ,"'C20 Cardiff Metropolitan University' ","'Not EU' ",85
2007 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'UK' ",90
2007 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'EU (excluding UK)' ",5
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'UK' ",3385
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'EU (excluding UK)' ",80
2007 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Not EU' ",80
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'UK' ",4535
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'EU (excluding UK)' ",195
2007 ,"'C30 University of Central Lancashire (UCLan)' ","'Not EU' ",65
2007 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'UK' ",185
2007 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'EU (excluding UK)' ",10
2007 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Not EU' ",5
2007 ,"'C55 University of Chester' ","'UK' ",2460
2007 ,"'C55 University of Chester' ","'EU (excluding UK)' ",60
