"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , POLAR3 Quintile , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_042_05.pdf"
 
Cycle Year,Achieved A-Level point score , POLAR3 Quintile,Number of Acceptances,
2014 ,"'11 points' ","'POLAR3 Quintile 2' ",2230
2014 ,"'11 points' ","'POLAR3 Quintile 3' ",3080
2014 ,"'11 points' ","'POLAR3 Quintile 4' ",3820
2014 ,"'11 points' ","'POLAR3 Quintile 5' ",5040
2014 ,"'11 points' ","'Not assigned' ",20
2014 ,"'12 points' ","'POLAR3 Quintile 1' ",1450
2014 ,"'12 points' ","'POLAR3 Quintile 2' ",2330
2014 ,"'12 points' ","'POLAR3 Quintile 3' ",3100
2014 ,"'12 points' ","'POLAR3 Quintile 4' ",4115
2014 ,"'12 points' ","'POLAR3 Quintile 5' ",5660
2014 ,"'12 points' ","'Not assigned' ",20
2014 ,"'13 points' ","'POLAR3 Quintile 1' ",1175
2014 ,"'13 points' ","'POLAR3 Quintile 2' ",2020
2014 ,"'13 points' ","'POLAR3 Quintile 3' ",2815
2014 ,"'13 points' ","'POLAR3 Quintile 4' ",3900
2014 ,"'13 points' ","'POLAR3 Quintile 5' ",5940
2014 ,"'13 points' ","'Not assigned' ",15
2014 ,"'14 points' ","'POLAR3 Quintile 1' ",950
2014 ,"'14 points' ","'POLAR3 Quintile 2' ",1640
2014 ,"'14 points' ","'POLAR3 Quintile 3' ",2380
2014 ,"'14 points' ","'POLAR3 Quintile 4' ",3525
2014 ,"'14 points' ","'POLAR3 Quintile 5' ",5665
2014 ,"'14 points' ","'Not assigned' ",25
2014 ,"'15 points' ","'POLAR3 Quintile 1' ",765
2014 ,"'15 points' ","'POLAR3 Quintile 2' ",1405
2014 ,"'15 points' ","'POLAR3 Quintile 3' ",1995
2014 ,"'15 points' ","'POLAR3 Quintile 4' ",3195
2014 ,"'15 points' ","'POLAR3 Quintile 5' ",5615
2014 ,"'15 points' ","'Not assigned' ",15
2014 ,"'16 points' ","'POLAR3 Quintile 1' ",530
2014 ,"'16 points' ","'POLAR3 Quintile 2' ",930
2014 ,"'16 points' ","'POLAR3 Quintile 3' ",1445
2014 ,"'16 points' ","'POLAR3 Quintile 4' ",2450
2014 ,"'16 points' ","'POLAR3 Quintile 5' ",4600
2014 ,"'16 points' ","'Not assigned' ",20
2014 ,"'17 points' ","'POLAR3 Quintile 1' ",245
2014 ,"'17 points' ","'POLAR3 Quintile 2' ",600
2014 ,"'17 points' ","'POLAR3 Quintile 3' ",920
2014 ,"'17 points' ","'POLAR3 Quintile 4' ",1505
2014 ,"'17 points' ","'POLAR3 Quintile 5' ",3145
2014 ,"'17 points' ","'Not assigned' ",5
2014 ,"'18 points' ","'POLAR3 Quintile 1' ",225
2014 ,"'18 points' ","'POLAR3 Quintile 2' ",425
2014 ,"'18 points' ","'POLAR3 Quintile 3' ",685
2014 ,"'18 points' ","'POLAR3 Quintile 4' ",1210
2014 ,"'18 points' ","'POLAR3 Quintile 5' ",2625
2014 ,"'18 points' ","'Not assigned' ",5
2015 ,"'3 points' ","'POLAR3 Quintile 1' ",25
2015 ,"'3 points' ","'POLAR3 Quintile 2' ",20
2015 ,"'3 points' ","'POLAR3 Quintile 3' ",25
2015 ,"'3 points' ","'POLAR3 Quintile 4' ",40
2015 ,"'3 points' ","'POLAR3 Quintile 5' ",35
2015 ,"'4 points' ","'POLAR3 Quintile 1' ",80
2015 ,"'4 points' ","'POLAR3 Quintile 2' ",110
2015 ,"'4 points' ","'POLAR3 Quintile 3' ",160
2015 ,"'4 points' ","'POLAR3 Quintile 4' ",165
2015 ,"'4 points' ","'POLAR3 Quintile 5' ",160
2015 ,"'5 points' ","'POLAR3 Quintile 1' ",240
2015 ,"'5 points' ","'POLAR3 Quintile 2' ",350
2015 ,"'5 points' ","'POLAR3 Quintile 3' ",425
2015 ,"'5 points' ","'POLAR3 Quintile 4' ",420
2015 ,"'5 points' ","'POLAR3 Quintile 5' ",470
2015 ,"'5 points' ","'Not assigned' ",5
2015 ,"'6 points' ","'POLAR3 Quintile 1' ",485
2015 ,"'6 points' ","'POLAR3 Quintile 2' ",725
2015 ,"'6 points' ","'POLAR3 Quintile 3' ",890
2015 ,"'6 points' ","'POLAR3 Quintile 4' ",920
2015 ,"'6 points' ","'POLAR3 Quintile 5' ",1035
2015 ,"'6 points' ","'Not assigned' ",5
2015 ,"'7 points' ","'POLAR3 Quintile 1' ",840
2015 ,"'7 points' ","'POLAR3 Quintile 2' ",1210
2015 ,"'7 points' ","'POLAR3 Quintile 3' ",1510
2015 ,"'7 points' ","'POLAR3 Quintile 4' ",1660
2015 ,"'7 points' ","'POLAR3 Quintile 5' ",1750
2015 ,"'7 points' ","'Not assigned' ",15
2015 ,"'8 points' ","'POLAR3 Quintile 1' ",1170
2015 ,"'8 points' ","'POLAR3 Quintile 2' ",1785
2015 ,"'8 points' ","'POLAR3 Quintile 3' ",2155
2015 ,"'8 points' ","'POLAR3 Quintile 4' ",2375
2015 ,"'8 points' ","'POLAR3 Quintile 5' ",2685
2015 ,"'8 points' ","'Not assigned' ",20
2015 ,"'9 points' ","'POLAR3 Quintile 1' ",1525
2015 ,"'9 points' ","'POLAR3 Quintile 2' ",2085
2015 ,"'9 points' ","'POLAR3 Quintile 3' ",2730
2015 ,"'9 points' ","'POLAR3 Quintile 4' ",3225
2015 ,"'9 points' ","'POLAR3 Quintile 5' ",3725
2015 ,"'9 points' ","'Not assigned' ",20
2015 ,"'10 points' ","'POLAR3 Quintile 1' ",1660
2015 ,"'10 points' ","'POLAR3 Quintile 2' ",2385
2015 ,"'10 points' ","'POLAR3 Quintile 3' ",3085
2015 ,"'10 points' ","'POLAR3 Quintile 4' ",3810
2015 ,"'10 points' ","'POLAR3 Quintile 5' ",4470
2015 ,"'10 points' ","'Not assigned' ",35
2015 ,"'11 points' ","'POLAR3 Quintile 1' ",1560
2015 ,"'11 points' ","'POLAR3 Quintile 2' ",2360
2015 ,"'11 points' ","'POLAR3 Quintile 3' ",3255
2015 ,"'11 points' ","'POLAR3 Quintile 4' ",4160
2015 ,"'11 points' ","'POLAR3 Quintile 5' ",5245
2015 ,"'11 points' ","'Not assigned' ",30
2015 ,"'12 points' ","'POLAR3 Quintile 1' ",1455
2015 ,"'12 points' ","'POLAR3 Quintile 2' ",2325
2015 ,"'12 points' ","'POLAR3 Quintile 3' ",3245
2015 ,"'12 points' ","'POLAR3 Quintile 4' ",4325
2015 ,"'12 points' ","'POLAR3 Quintile 5' ",6090
2015 ,"'12 points' ","'Not assigned' ",45
2015 ,"'13 points' ","'POLAR3 Quintile 1' ",1205
2015 ,"'13 points' ","'POLAR3 Quintile 2' ",2055
2015 ,"'13 points' ","'POLAR3 Quintile 3' ",2940
2015 ,"'13 points' ","'POLAR3 Quintile 4' ",3970
2015 ,"'13 points' ","'POLAR3 Quintile 5' ",6055
2015 ,"'13 points' ","'Not assigned' ",35
2015 ,"'14 points' ","'POLAR3 Quintile 1' ",930
2015 ,"'14 points' ","'POLAR3 Quintile 2' ",1650
2015 ,"'14 points' ","'POLAR3 Quintile 3' ",2430
2015 ,"'14 points' ","'POLAR3 Quintile 4' ",3600
2015 ,"'14 points' ","'POLAR3 Quintile 5' ",5725
2015 ,"'14 points' ","'Not assigned' ",35
2015 ,"'15 points' ","'POLAR3 Quintile 1' ",795
2015 ,"'15 points' ","'POLAR3 Quintile 2' ",1380
2015 ,"'15 points' ","'POLAR3 Quintile 3' ",2040
2015 ,"'15 points' ","'POLAR3 Quintile 4' ",3330
2015 ,"'15 points' ","'POLAR3 Quintile 5' ",5515
2015 ,"'15 points' ","'Not assigned' ",20
2015 ,"'16 points' ","'POLAR3 Quintile 1' ",465
2015 ,"'16 points' ","'POLAR3 Quintile 2' ",1015
2015 ,"'16 points' ","'POLAR3 Quintile 3' ",1490
2015 ,"'16 points' ","'POLAR3 Quintile 4' ",2485
2015 ,"'16 points' ","'POLAR3 Quintile 5' ",4720
2015 ,"'16 points' ","'Not assigned' ",20
2015 ,"'17 points' ","'POLAR3 Quintile 1' ",295
2015 ,"'17 points' ","'POLAR3 Quintile 2' ",570
2015 ,"'17 points' ","'POLAR3 Quintile 3' ",920
2015 ,"'17 points' ","'POLAR3 Quintile 4' ",1585
2015 ,"'17 points' ","'POLAR3 Quintile 5' ",3220
2015 ,"'17 points' ","'Not assigned' ",15
2015 ,"'18 points' ","'POLAR3 Quintile 1' ",200
2015 ,"'18 points' ","'POLAR3 Quintile 2' ",415
2015 ,"'18 points' ","'POLAR3 Quintile 3' ",685
2015 ,"'18 points' ","'POLAR3 Quintile 4' ",1265
2015 ,"'18 points' ","'POLAR3 Quintile 5' ",2715
2015 ,"'18 points' ","'Not assigned' ",10
2016 ,"'3 points' ","'POLAR3 Quintile 1' ",20
2016 ,"'3 points' ","'POLAR3 Quintile 2' ",30
2016 ,"'3 points' ","'POLAR3 Quintile 3' ",40
2016 ,"'3 points' ","'POLAR3 Quintile 4' ",30
2016 ,"'3 points' ","'POLAR3 Quintile 5' ",40
2016 ,"'4 points' ","'POLAR3 Quintile 1' ",90
2016 ,"'4 points' ","'POLAR3 Quintile 2' ",145
2016 ,"'4 points' ","'POLAR3 Quintile 3' ",150
2016 ,"'4 points' ","'POLAR3 Quintile 4' ",175
2016 ,"'4 points' ","'POLAR3 Quintile 5' ",160
2016 ,"'5 points' ","'POLAR3 Quintile 1' ",265
2016 ,"'5 points' ","'POLAR3 Quintile 2' ",360
2016 ,"'5 points' ","'POLAR3 Quintile 3' ",440
2016 ,"'5 points' ","'POLAR3 Quintile 4' ",415
2016 ,"'5 points' ","'POLAR3 Quintile 5' ",500
2016 ,"'5 points' ","'Not assigned' ",10
2016 ,"'6 points' ","'POLAR3 Quintile 1' ",535
2016 ,"'6 points' ","'POLAR3 Quintile 2' ",730
2016 ,"'6 points' ","'POLAR3 Quintile 3' ",865
2016 ,"'6 points' ","'POLAR3 Quintile 4' ",915
2016 ,"'6 points' ","'POLAR3 Quintile 5' ",1065
2016 ,"'6 points' ","'Not assigned' ",10
2016 ,"'7 points' ","'POLAR3 Quintile 1' ",895
2016 ,"'7 points' ","'POLAR3 Quintile 2' ",1170
2016 ,"'7 points' ","'POLAR3 Quintile 3' ",1500
2016 ,"'7 points' ","'POLAR3 Quintile 4' ",1650
2016 ,"'7 points' ","'POLAR3 Quintile 5' ",1820
2016 ,"'7 points' ","'Not assigned' ",20
2016 ,"'8 points' ","'POLAR3 Quintile 1' ",1210
2016 ,"'8 points' ","'POLAR3 Quintile 2' ",1735
2016 ,"'8 points' ","'POLAR3 Quintile 3' ",2115
2016 ,"'8 points' ","'POLAR3 Quintile 4' ",2505
2016 ,"'8 points' ","'POLAR3 Quintile 5' ",2690
2016 ,"'8 points' ","'Not assigned' ",40
2016 ,"'9 points' ","'POLAR3 Quintile 1' ",1510
2016 ,"'9 points' ","'POLAR3 Quintile 2' ",2190
2016 ,"'9 points' ","'POLAR3 Quintile 3' ",2800
2016 ,"'9 points' ","'POLAR3 Quintile 4' ",3265
2016 ,"'9 points' ","'POLAR3 Quintile 5' ",3815
2016 ,"'9 points' ","'Not assigned' ",55
2016 ,"'10 points' ","'POLAR3 Quintile 1' ",1635
2016 ,"'10 points' ","'POLAR3 Quintile 2' ",2405
2016 ,"'10 points' ","'POLAR3 Quintile 3' ",3105
2016 ,"'10 points' ","'POLAR3 Quintile 4' ",3715
2016 ,"'10 points' ","'POLAR3 Quintile 5' ",4625
2016 ,"'10 points' ","'Not assigned' ",55
2016 ,"'11 points' ","'POLAR3 Quintile 1' ",1555
2016 ,"'11 points' ","'POLAR3 Quintile 2' ",2500
2016 ,"'11 points' ","'POLAR3 Quintile 3' ",3235
2016 ,"'11 points' ","'POLAR3 Quintile 4' ",4080
2016 ,"'11 points' ","'POLAR3 Quintile 5' ",5245
2016 ,"'11 points' ","'Not assigned' ",60
2016 ,"'12 points' ","'POLAR3 Quintile 1' ",1485
2016 ,"'12 points' ","'POLAR3 Quintile 2' ",2340
2016 ,"'12 points' ","'POLAR3 Quintile 3' ",3310
2016 ,"'12 points' ","'POLAR3 Quintile 4' ",4380
2016 ,"'12 points' ","'POLAR3 Quintile 5' ",6080
2016 ,"'12 points' ","'Not assigned' ",65
2016 ,"'13 points' ","'POLAR3 Quintile 1' ",1205
2016 ,"'13 points' ","'POLAR3 Quintile 2' ",2130
2016 ,"'13 points' ","'POLAR3 Quintile 3' ",2870
2016 ,"'13 points' ","'POLAR3 Quintile 4' ",4060
2016 ,"'13 points' ","'POLAR3 Quintile 5' ",6010
2016 ,"'13 points' ","'Not assigned' ",50
2016 ,"'14 points' ","'POLAR3 Quintile 1' ",970
2016 ,"'14 points' ","'POLAR3 Quintile 2' ",1655
2016 ,"'14 points' ","'POLAR3 Quintile 3' ",2470
2016 ,"'14 points' ","'POLAR3 Quintile 4' ",3495
2016 ,"'14 points' ","'POLAR3 Quintile 5' ",5780
2016 ,"'14 points' ","'Not assigned' ",50
2016 ,"'15 points' ","'POLAR3 Quintile 1' ",745
2016 ,"'15 points' ","'POLAR3 Quintile 2' ",1430
2016 ,"'15 points' ","'POLAR3 Quintile 3' ",2075
2016 ,"'15 points' ","'POLAR3 Quintile 4' ",3180
2016 ,"'15 points' ","'POLAR3 Quintile 5' ",5560
2016 ,"'15 points' ","'Not assigned' ",45
2016 ,"'16 points' ","'POLAR3 Quintile 1' ",505
2016 ,"'16 points' ","'POLAR3 Quintile 2' ",950
2016 ,"'16 points' ","'POLAR3 Quintile 3' ",1545
2016 ,"'16 points' ","'POLAR3 Quintile 4' ",2510
2016 ,"'16 points' ","'POLAR3 Quintile 5' ",4690
2016 ,"'16 points' ","'Not assigned' ",35
2016 ,"'17 points' ","'POLAR3 Quintile 1' ",290
2016 ,"'17 points' ","'POLAR3 Quintile 2' ",545
2016 ,"'17 points' ","'POLAR3 Quintile 3' ",880
2016 ,"'17 points' ","'POLAR3 Quintile 4' ",1470
2016 ,"'17 points' ","'POLAR3 Quintile 5' ",3080
2016 ,"'17 points' ","'Not assigned' ",15
2016 ,"'18 points' ","'POLAR3 Quintile 1' ",175
2016 ,"'18 points' ","'POLAR3 Quintile 2' ",365
2016 ,"'18 points' ","'POLAR3 Quintile 3' ",610
2016 ,"'18 points' ","'POLAR3 Quintile 4' ",1070
2016 ,"'18 points' ","'POLAR3 Quintile 5' ",2550
2016 ,"'18 points' ","'Not assigned' ",15
