"Statistic:   Number of Applicants"
"Variables:   POLAR3 Quintile , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled 18 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_038_04.pdf"
 
Cycle Year,POLAR3 Quintile , Applicant Domicile (High Level),Number of Applicants,
2010 ,"'POLAR3 Quintile 1' ","'England' ",24125
2010 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",820
2010 ,"'POLAR3 Quintile 1' ","'Scotland' ",845
2010 ,"'POLAR3 Quintile 1' ","'Wales' ",1610
2010 ,"'POLAR3 Quintile 2' ","'England' ",34135
2010 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",1130
2010 ,"'POLAR3 Quintile 2' ","'Scotland' ",2095
2010 ,"'POLAR3 Quintile 2' ","'Wales' ",2425
2010 ,"'POLAR3 Quintile 3' ","'England' ",44245
2010 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1890
2010 ,"'POLAR3 Quintile 3' ","'Scotland' ",3160
2010 ,"'POLAR3 Quintile 3' ","'Wales' ",2080
2010 ,"'POLAR3 Quintile 4' ","'England' ",53290
2010 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",3700
2010 ,"'POLAR3 Quintile 4' ","'Scotland' ",4930
2010 ,"'POLAR3 Quintile 4' ","'Wales' ",2765
2010 ,"'POLAR3 Quintile 5' ","'England' ",69710
2010 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",4510
2010 ,"'POLAR3 Quintile 5' ","'Scotland' ",9120
2010 ,"'POLAR3 Quintile 5' ","'Wales' ",3155
2010 ,"'Not assigned' ","'England' ",485
2010 ,"'Not assigned' ","'Northern Ireland' ",35
2010 ,"'Not assigned' ","'Scotland' ",50
2010 ,"'Not assigned' ","'Wales' ",25
2011 ,"'POLAR3 Quintile 1' ","'England' ",24335
2011 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",740
2011 ,"'POLAR3 Quintile 1' ","'Scotland' ",750
2011 ,"'POLAR3 Quintile 1' ","'Wales' ",1610
2011 ,"'POLAR3 Quintile 2' ","'England' ",34525
2011 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",1240
2011 ,"'POLAR3 Quintile 2' ","'Scotland' ",2055
2011 ,"'POLAR3 Quintile 2' ","'Wales' ",2370
2011 ,"'POLAR3 Quintile 3' ","'England' ",44125
2011 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1785
2011 ,"'POLAR3 Quintile 3' ","'Scotland' ",3040
2011 ,"'POLAR3 Quintile 3' ","'Wales' ",2010
2011 ,"'POLAR3 Quintile 4' ","'England' ",52915
2011 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",3625
2011 ,"'POLAR3 Quintile 4' ","'Scotland' ",4695
2011 ,"'POLAR3 Quintile 4' ","'Wales' ",2665
2011 ,"'POLAR3 Quintile 5' ","'England' ",69590
2011 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",4550
2011 ,"'POLAR3 Quintile 5' ","'Scotland' ",8965
2011 ,"'POLAR3 Quintile 5' ","'Wales' ",3060
2011 ,"'Not assigned' ","'England' ",445
2011 ,"'Not assigned' ","'Northern Ireland' ",35
2011 ,"'Not assigned' ","'Scotland' ",50
2011 ,"'Not assigned' ","'Wales' ",20
2012 ,"'POLAR3 Quintile 1' ","'England' ",23360
2012 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",760
2012 ,"'POLAR3 Quintile 1' ","'Scotland' ",790
2012 ,"'POLAR3 Quintile 1' ","'Wales' ",1620
2012 ,"'POLAR3 Quintile 2' ","'England' ",33235
2012 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",1155
2012 ,"'POLAR3 Quintile 2' ","'Scotland' ",1950
2012 ,"'POLAR3 Quintile 2' ","'Wales' ",2390
2012 ,"'POLAR3 Quintile 3' ","'England' ",42775
2012 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1780
2012 ,"'POLAR3 Quintile 3' ","'Scotland' ",3160
2012 ,"'POLAR3 Quintile 3' ","'Wales' ",2020
2012 ,"'POLAR3 Quintile 4' ","'England' ",50715
2012 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",3515
2012 ,"'POLAR3 Quintile 4' ","'Scotland' ",4655
2012 ,"'POLAR3 Quintile 4' ","'Wales' ",2540
2012 ,"'POLAR3 Quintile 5' ","'England' ",67045
2012 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",4485
2012 ,"'POLAR3 Quintile 5' ","'Scotland' ",8865
2012 ,"'POLAR3 Quintile 5' ","'Wales' ",3020
2012 ,"'Not assigned' ","'England' ",430
2012 ,"'Not assigned' ","'Northern Ireland' ",20
2012 ,"'Not assigned' ","'Scotland' ",45
2012 ,"'Not assigned' ","'Wales' ",30
2013 ,"'POLAR3 Quintile 1' ","'England' ",24105
2013 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",760
2013 ,"'POLAR3 Quintile 1' ","'Scotland' ",815
2013 ,"'POLAR3 Quintile 1' ","'Wales' ",1550
2013 ,"'POLAR3 Quintile 2' ","'England' ",34115
2013 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",1150
2013 ,"'POLAR3 Quintile 2' ","'Scotland' ",2000
2013 ,"'POLAR3 Quintile 2' ","'Wales' ",2330
2013 ,"'POLAR3 Quintile 3' ","'England' ",43725
2013 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1825
2013 ,"'POLAR3 Quintile 3' ","'Scotland' ",3090
2013 ,"'POLAR3 Quintile 3' ","'Wales' ",1915
2013 ,"'POLAR3 Quintile 4' ","'England' ",51485
2013 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",3430
2013 ,"'POLAR3 Quintile 4' ","'Scotland' ",4635
2013 ,"'POLAR3 Quintile 4' ","'Wales' ",2475
2013 ,"'POLAR3 Quintile 5' ","'England' ",66570
2013 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",4530
2013 ,"'POLAR3 Quintile 5' ","'Scotland' ",8835
2013 ,"'POLAR3 Quintile 5' ","'Wales' ",3025
2013 ,"'Not assigned' ","'England' ",385
2013 ,"'Not assigned' ","'Northern Ireland' ",25
2013 ,"'Not assigned' ","'Scotland' ",45
2013 ,"'Not assigned' ","'Wales' ",25
2014 ,"'POLAR3 Quintile 1' ","'England' ",25820
2014 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",770
2014 ,"'POLAR3 Quintile 1' ","'Scotland' ",915
2014 ,"'POLAR3 Quintile 1' ","'Wales' ",1780
2014 ,"'POLAR3 Quintile 2' ","'England' ",35650
2014 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",1190
2014 ,"'POLAR3 Quintile 2' ","'Scotland' ",2085
